#title = mean sea level anomaly global ocean (Annual signals removed) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 3.07 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
2006.23470,,17.62000,,
2006.26190,,16.67000,,
2006.28900,,16.40000,,
2006.31630,,16.32000,,
2006.34330,,16.63000,,
2006.37050,,20.02000,,
2006.39750,,20.08000,,
2006.42480,,19.65000,,
2006.45190,,19.10000,,
2006.47910,,18.39000,,
2006.50640,,19.88000,,
2006.53340,,19.56000,,
2006.56050,,18.81000,,
2006.58770,,17.16000,,
2006.61480,,14.54000,,
2006.64200,,17.70000,,
2006.66910,,20.24000,,
2006.69630,,20.02000,,
2006.72350,,20.84000,,
2006.75070,,19.78000,,
2006.77770,,21.00000,,
2006.80490,,20.26000,,
2006.82440,,19.77000,,
2006.88940,,18.19000,,
2006.91350,,17.22000,,
2006.94030,,21.74000,,
2006.96790,,20.45000,,
2006.99490,,19.39000,,
2007.02200,,16.72000,,
2007.04920,,15.27000,,
2007.07650,,18.38000,,
2007.10350,,17.32000,,
2007.13030,,16.86000,,
2007.15780,,18.74000,,
2007.18490,,17.06000,,
2007.21210,,18.55000,,
2007.23920,,19.05000,,
2007.26600,,21.79000,,
2007.29350,,21.72000,,
2007.32070,,20.84000,,
2007.34790,,15.15000,,
2007.37500,,20.14000,,
2007.40220,,21.38000,,
2007.42920,,19.23000,,
2007.45640,,15.86000,,
2007.48360,,15.82000,,
2007.51070,,16.68000,,
2007.53780,,15.52000,,
2007.56500,,14.93000,,
2007.59210,,16.65000,,
2007.61930,,19.81000,,
2007.64660,,17.16000,,
2007.67360,,15.40000,,
2007.70070,,15.60000,,
2007.72790,,20.85000,,
2007.75500,,20.03000,,
2007.78220,,18.21000,,
2007.80930,,18.13000,,
2007.83650,,15.81000,,
2007.86370,,19.36000,,
2007.89080,,24.03000,,
2007.91800,,23.19000,,
2007.94510,,21.16000,,
2007.97230,,16.26000,,
2007.99950,,18.22000,,
2008.02660,,19.44000,,
2008.05370,,22.76000,,
2008.08080,,22.44000,,
2008.10800,,20.25000,,
2008.13510,,21.57000,,
2008.16230,,18.62000,,
2008.18940,,21.81000,,
2008.21660,,22.28000,,
2008.24370,,21.37000,,
2008.27090,,19.92000,,
2008.29810,,21.24000,,
2008.32530,,21.06000,,
2008.34560,,20.24000,,
2008.37950,,25.65000,,
2008.40660,,25.58000,,
2008.43380,,23.32000,,
2008.46090,,22.02000,,
2008.48810,,23.75000,,
2008.51520,,24.77000,,
2008.54230,,24.57000,,
2008.54250,,,22.74000,
2008.56950,,22.55000,21.89000,
2008.59220,,21.55000,,
2008.59680,,,20.06000,
2008.62380,,,22.43000,
2008.65070,,,21.17000,
2008.65090,,18.72000,,
2008.67810,,,21.02000,
2008.67820,,21.26000,,
2008.70520,,19.68000,20.02000,
2008.73240,,21.06000,21.63000,
2008.75950,,22.89000,22.01000,
2008.78670,,21.82000,22.52000,
2008.81380,,24.00000,23.17000,
2008.84100,,,21.56000,
2008.84110,,21.84000,,
2008.86810,,24.84000,23.78000,
2008.89530,,24.27000,22.67000,
2008.92240,,,27.28000,
2008.92250,,27.67000,,
2008.94960,,22.77000,22.84000,
2008.97680,,,21.36000,
2008.97690,,20.99000,,
2009.00390,,23.24000,23.17000,
2009.03100,,24.14000,,
2009.03160,,,23.74000,
2009.05820,,23.65000,23.26000,
2009.08530,,,22.56000,
2009.11240,,,20.30000,
2009.12670,,20.77000,,
2009.13960,,,22.21000,
2009.15310,,23.95000,,
2009.16670,,,23.48000,
2009.18030,,27.29000,,
2009.19390,,,24.37000,
2009.20740,,27.90000,,
2009.22100,,,24.98000,
2009.23460,,27.42000,,
2009.24820,,,24.97000,
2009.26180,,26.37000,,
2009.27530,,,24.33000,
2009.28890,,24.00000,,
2009.30250,,,24.99000,
2009.31600,,26.22000,,
2009.32960,,,25.23000,
2009.34320,,28.23000,,
2009.35670,,,24.74000,
2009.37030,,24.42000,,
2009.38390,,,23.88000,
2009.39750,,24.58000,,
2009.41070,,,23.32000,
2009.42460,,24.25000,,
2009.43820,,,25.41000,
2009.45180,,28.10000,,
2009.46530,,,26.02000,
2009.47890,,25.29000,,
2009.49250,,,24.20000,
2009.50610,,25.09000,,
2009.51970,,,22.35000,
2009.53320,,25.06000,,
2009.54680,,,23.77000,
2009.56040,,28.22000,,
2009.57400,,,27.38000,
2009.58750,,27.47000,,
2009.60110,,,24.24000,
2009.61470,,25.54000,,
2009.62830,,,25.18000,
2009.64180,,24.82000,,
2009.65540,,,25.31000,
2009.66900,,26.95000,,
2009.68260,,,26.00000,
2009.69470,,29.70000,,
2009.70970,,,28.83000,
2009.73600,,24.22000,,
2009.73690,,,28.17000,
2009.75040,,29.79000,,
2009.76400,,,27.41000,
2009.77760,,28.51000,,
2009.79110,,,28.47000,
2009.80470,,27.76000,,
2009.81840,,,28.88000,
2009.83190,,30.29000,,
2009.84550,,,28.63000,
2009.85900,,26.77000,,
2009.87260,,,25.19000,
2009.88620,,27.50000,,
2009.89980,,,27.83000,
2009.91330,,28.31000,,
2009.92690,,,26.97000,
2009.94050,,27.85000,,
2009.95400,,,25.13000,
2009.96760,,28.53000,,
2009.98120,,,29.86000,
2009.99480,,28.38000,,
2010.00840,,,26.87000,
2010.02190,,29.71000,,
2010.03550,,,26.30000,
2010.04910,,26.86000,,
2010.06260,,,25.41000,
2010.07620,,22.87000,,
2010.08980,,,21.79000,
2010.10330,,24.91000,,
2010.11700,,,25.91000,
2010.13050,,28.96000,,
2010.14410,,,28.29000,
2010.15760,,31.24000,,
2010.17120,,,31.85000,
2010.18500,,30.66000,,
2010.19830,,,25.62000,
2010.21200,,26.44000,,
2010.22550,,,26.13000,
2010.23900,,26.65000,,
2010.25270,,,25.91000,
2010.26550,,26.29000,,
2010.27990,,,28.57000,
2010.29350,,31.72000,,
2010.30690,,,28.83000,
2010.32050,,29.14000,,
2010.33410,,,26.07000,
2010.34770,,27.85000,,
2010.36120,,,26.17000,
2010.37480,,29.24000,,
2010.38840,,,30.40000,
2010.40190,,27.58000,,
2010.41550,,,30.31000,
2010.42770,,28.54000,,
2010.44270,,,30.38000,
2010.45620,,30.36000,,
