Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Nelson Aero,4241,G13222,-41.299,173.226,2,G,N/A
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Rain: Daily
Station,Date(UTC),Amount(mm),SofG,Deficit(mm),Runoff(mm),Period(Hrs),Freq
4241,19420214:2100,0.0,-,-,-,24,D
4241,19420215:2100,0.0,-,-,-,24,D
4241,19420216:2100,0.0,-,-,-,24,D
4241,19420217:2100,0.0,-,-,-,24,D
4241,19420218:2100,0.0,-,-,-,24,D
4241,19420219:2100,0.0,-,-,-,24,D
4241,19420220:2100,0.0,-,-,-,24,D
4241,19420221:2100,0.0,-,-,-,24,D
4241,19420222:2100,0.0,-,-,-,24,D
4241,19420223:2100,0.0,-,-,-,24,D
4241,19420224:2100,1.8,-,-,-,24,D
4241,19420225:2100,0.0,-,-,-,24,D
4241,19420226:2100,0.0,-,-,-,24,D
4241,19420227:2100,0.0,-,-,-,24,D
4241,19420228:2100,0.0,-,-,-,24,D
4241,19420301:2100,0.0,-,-,-,24,D
4241,19420302:2100,0.0,-,-,-,24,D
4241,19420303:2100,0.0,-,-,-,24,D
4241,19420304:2100,0.0,-,-,-,24,D
4241,19420305:2100,0.0,-,-,-,24,D
4241,19420306:2100,0.0,-,-,-,24,D
4241,19420307:2100,0.0,-,-,-,24,D
4241,19420308:2100,0.0,-,-,-,24,D
4241,19420309:2100,8.6,-,-,-,24,D
4241,19420310:2100,44.7,-,-,-,24,D
4241,19420311:2100,0.0,-,-,-,24,D
4241,19420312:2100,0.0,-,-,-,24,D
4241,19420313:2100,4.3,-,-,-,24,D
4241,19420314:2100,0.0,-,-,-,24,D
4241,19420315:2100,0.0,-,-,-,24,D
4241,19420316:2100,0.0,-,-,-,24,D
4241,19420317:2100,0.0,-,-,-,24,D
4241,19420318:2100,12.4,-,-,-,24,D
4241,19420319:2100,11.4,-,-,-,24,D
4241,19420320:2100,0.3,-,-,-,24,D
4241,19420321:2100,0.0,-,-,-,24,D
4241,19420322:2100,2.3,-,-,-,24,D
4241,19420323:2100,0.0,-,-,-,24,D
4241,19420324:2100,22.4,-,-,-,24,D
4241,19420325:2100,12.7,-,-,-,24,D
4241,19420326:2100,0.0,-,-,-,24,D
4241,19420327:2100,4.3,-,-,-,24,D
4241,19420328:2100,0.0,-,-,-,24,D
4241,19420329:2100,0.0,-,-,-,24,D
4241,19420330:2100,0.0,-,-,-,24,D
4241,19420331:2100,0.0,-,-,-,24,D
4241,19420401:2100,0.0,-,-,-,24,D
4241,19420402:2100,1.8,-,-,-,24,D
4241,19420403:2100,0.0,-,-,-,24,D
4241,19420404:2100,0.0,-,-,-,24,D
4241,19420405:2100,3.0,-,-,-,24,D
4241,19420406:2100,18.8,-,-,-,24,D
4241,19420407:2100,0.5,-,-,-,24,D
4241,19420408:2100,1.3,-,-,-,24,D
4241,19420409:2100,0.0,-,-,-,24,D
4241,19420410:2100,0.0,-,-,-,24,D
4241,19420411:2100,0.0,-,-,-,24,D
4241,19420412:2100,0.0,-,-,-,24,D
4241,19420413:2100,0.0,-,-,-,24,D
4241,19420414:2100,0.0,-,-,-,24,D
4241,19420415:2100,0.0,-,-,-,24,D
4241,19420416:2100,0.0,-,-,-,24,D
4241,19420417:2100,0.8,-,-,-,24,D
4241,19420418:2100,0.0,-,-,-,24,D
4241,19420419:2100,0.0,-,-,-,24,D
4241,19420420:2100,0.0,-,-,-,24,D
