MIN TEMP       300001 19580101 20201231 missing_value=99999.9 MAWSON                                    
19810801 19810831   -17.8
19810901 19810930   -21.2
19811001 19811031   -19.4
19811101 19811130    -9.0
19811201 19811231    -4.7
19820101 19820131    -4.5
19820201 19820228    -8.5
19820301 19820331   -16.0
19820401 19820430   -23.2
19820501 19820531   -22.2
19820601 19820630   -25.8
19820701 19820731   -21.2
19820801 19820831   -27.5
19820901 19820930   -27.1
19821001 19821031   -16.6
19821101 19821130    -7.9
19821201 19821231    -2.8
19830101 19830131    -2.5
19830201 19830228    -6.7
19830301 19830331   -15.0
19830401 19830430   -16.6
19830501 19830531   -18.4
19830601 19830630   -21.8
19830701 19830731   -23.9
19830801 19830831   -19.5
19830901 19830930   -18.2
19831001 19831031   -16.9
19831101 19831130   -12.6
19831201 19831231    -5.5
19840101 19840131    -2.4
19840201 19840229    -7.9
19840301 19840331   -14.4
19840401 19840430   -18.7
19840501 19840531   -17.7
19840601 19840630   -20.9
19840701 19840731   -23.3
19840801 19840831   -19.7
19840901 19840930   -19.2
19841001 19841031   -20.4
19841101 19841130    -9.1
19841201 19841231    -3.0
19850101 19850131    -2.7
19850201 19850228    -8.1
19850301 19850331   -13.1
19850401 19850430   -17.1
19850501 19850531   -20.8
19850601 19850630   -16.0
19850701 19850731   -26.8
19850801 19850831   -23.1
19850901 19850930   -21.7
19851001 19851031   -18.1
19851101 19851130   -11.4
19851201 19851231    -5.5
19860101 19860131    -4.8
19860201 19860228    -3.9
19860301 19860331   -11.3
19860401 19860430   -19.2
19860501 19860531   -17.4
19860601 19860630   -22.0
19860701 19860731   -22.4
19860801 19860831   -23.2
19860901 19860930   -19.5
19861001 19861031   -15.1
19861101 19861130    -9.6
19861201 19861231    -4.5
19870101 19870131    -2.3
19870201 19870228    -6.8
19870301 19870331   -12.6
19870401 19870430   -18.9
19870501 19870531   -21.5
19870601 19870630   -18.0
19870701 19870731   -17.9
19870801 19870831   -24.7
19870901 19870930   -23.2
19871001 19871031   -17.2
19871101 19871130    -9.2
19871201 19871231    -3.7
19880101 19880131    -2.4
19880201 19880229    -8.0
19880301 19880331    -9.5
19880401 19880430   -18.3
19880501 19880531   -17.8
19880601 19880630   -16.7
19880701 19880731   -19.2
19880801 19880831   -18.9
19880901 19880930   -18.1
19881001 19881031   -13.9
19881101 19881130   -10.0
19881201 19881231    -5.5
19890101 19890131    -3.6
19890201 19890228    -6.7
19890301 19890331   -13.9
19890401 19890430   -19.5
19890501 19890531   -25.0
19890601 19890630   -19.2
19890701 19890731   -21.3
19890801 19890831   -18.3
19890901 19890930   -17.9
19891001 19891031   -13.9
19891101 19891130   -10.2
19891201 19891231    -2.1
19900101 19900131    -2.5
19900201 19900228    -7.2
19900301 19900331   -12.7
19900401 19900430   -14.4
19900501 19900531   -17.4
19900601 19900630   -19.6
19900701 19900731   -19.1
19900801 19900831   -23.6
19900901 19900930   -22.6
19901001 19901031   -16.3
19901101 19901130    -8.5
19901201 19901231    -3.7
19910101 19910131    -4.2
19910201 19910228    -5.6
19910301 19910331   -10.4
19910401 19910430   -13.1
19910501 19910531   -18.6
19910601 19910630   -15.9
19910701 19910731   -15.7
19910801 19910831   -18.8
19910901 19910930   -21.0
19911001 19911031   -16.9
19911101 19911130    -9.0
19911201 19911231    -2.2
19920101 19920131    -1.4
19920201 19920229    -4.9
19920301 19920331   -13.0
19920401 19920430   -17.9
19920501 19920531   -19.2
19920601 19920630   -20.1
19920701 19920731   -22.0
19920801 19920831   -21.8
19920901 19920930   -24.9
19921001 19921031   -15.0
19921101 19921130    -8.5
19921201 19921231    -5.4
19930101 19930131    -1.7
19930201 19930228    -7.7
19930301 19930331   -14.6
19930401 19930430   -19.9
19930501 19930531   -22.8
19930601 19930630   -22.4
19930701 19930731   -25.2
19930801 19930831   -25.9
19930901 19930930   -23.4
19931001 19931031   -16.4
19931101 19931130   -10.5
19931201 19931231    -4.5
19940101 19940131    -3.6
19940201 19940228    -8.6
19940301 19940331   -14.6
19940401 19940430   -18.6
19940501 19940531   -23.8
19940601 19940630   -15.2
19940701 19940731   -18.6
19940801 19940831   -23.6
19940901 19940930   -18.0
19941001 19941031   -15.4
19941101 19941130    -9.6
19941201 19941231    -4.3
19950101 19950131    -5.2
19950201 19950228    -7.7
19950301 19950331   -13.1
19950401 19950430   -15.0
19950501 19950531   -19.8
19950601 19950630   -22.1
19950701 19950731   -11.4
19950801 19950831   -23.5
19950901 19950930   -21.0
19951001 19951031   -18.0
19951101 19951130    -9.7
19951201 19951231    -3.4
19960101 19960131    -2.9
19960201 19960229    -6.0
19960301 19960331   -13.5
19960401 19960430   -18.2
19960501 19960531   -24.4
19960601 19960630   -18.2
19960701 19960731   -21.5
19960801 19960831   -17.2
19960901 19960930   -17.2
19961001 19961031   -16.0
19961101 19961130    -8.3
19961201 19961231    -3.1
19970101 19970131    -3.8
19970201 19970228    -7.2
19970301 19970331   -11.5
19970401 19970430   -18.2
19970501 19970531   -21.7
19970601 19970630   -18.9
19970701 19970731   -22.3
19970801 19970831   -22.2
19970901 19970930   -23.2
19971001 19971031   -17.0
19971101 19971130    -8.9
19971201 19971231    -3.3
19980101 19980131    -3.4
19980201 19980228    -7.6
19980301 19980331   -14.7
19980401 19980430   -22.5
19980501 19980531   -22.0
19980601 19980630   -18.2
19980701 19980731   -22.0
19980801 19980831   -19.2
19980901 19980930   -21.0
19981001 19981031   -17.8
19981101 19981130    -7.9
19981201 19981231    -4.1
19990101 19990131    -4.0
19990201 19990228    -7.4
19990301 19990331   -12.7
19990401 19990430   -19.9
19990501 19990531   -21.5
19990601 19990630   -17.7
19990701 19990731   -22.3
19990801 19990831   -22.5
19990901 19990930   -21.1
19991001 19991031   -17.5
19991101 19991130    -9.8
19991201 19991231    -5.4
20000101 20000131    -3.6
20000201 20000229    -9.4
20000301 20000331   -13.8
20000401 20000430   -13.9
20000501 20000531   -21.4
20000601 20000630   -18.1
20000701 20000731   -21.3
20000801 20000831   -20.2
20000901 20000930   -18.6
20001001 20001031   -20.0
20001101 20001130    -7.5
20001201 20001231    -2.7
20010101 20010131    -2.5
20010201 20010228    -6.6
20010301 20010331   -13.4
20010401 20010430   -18.7
20010501 20010531   -17.9
20010601 20010630   -19.2
20010701 20010731   -19.6
20010801 20010831   -24.1
20010901 20010930   -21.9
20011001 20011031   -15.9
20011101 20011130    -8.1
20011201 20011231    -4.0
20020101 20020131    -3.5
20020201 20020228    -8.3
20020301 20020331   -11.8
20020401 20020430   -16.5
20020501 20020531   -14.1
20020601 20020630   -17.9
20020701 20020731   -19.7
20020801 20020831   -23.3
20020901 20020930   -18.9
20021001 20021031   -14.6
20021101 20021130    -9.2
20021201 20021231    -4.1
20030101 20030131    -2.0
20030201 20030228    -4.5
20030301 20030331   -12.0
20030401 20030430   -19.2
20030501 20030531   -21.0
20030601 20030630   -18.1
20030701 20030731   -21.6
20030801 20030831   -22.4
20030901 20030930   -18.9
20031001 20031031   -16.9
20031101 20031130   -10.1
20031201 20031231    -2.8
20040101 20040131    -2.1
20040201 20040229    -5.8
20040301 20040331   -13.6
20040401 20040430   -19.0
20040501 20040531   -18.6
20040601 20040630   -22.3
20040701 20040731   -23.9
20040801 20040831   -20.4
20040901 20040930   -24.0
20041001 20041031   -15.6
20041101 20041130    -8.0
20041201 20041231    -2.1
20050101 20050131    -2.1
20050201 20050228    -7.8
20050301 20050331   -10.8
20050401 20050430   -19.2
20050501 20050531   -21.5
20050601 20050630   -17.7
20050701 20050731   -21.3
20050801 20050831   -22.4
20050901 20050930   -19.5
20051001 20051031   -15.7
20051101 20051130   -10.7
20051201 20051231    -1.8
20060101 20060131    -3.2
20060201 20060228    -8.3
20060301 20060331   -13.0
20060401 20060430   -15.3
20060501 20060531   -21.3
20060601 20060630   -18.6
20060701 20060731   -23.7
20060801 20060831   -19.6
20060901 20060930   -18.8
20061001 20061031   -17.1
20061101 20061130    -8.7
20061201 20061231    -4.5
20070101 20070131    -2.7
20070201 20070228    -7.6
20070301 20070331   -13.4
20070401 20070430   -14.7
20070501 20070531   -12.7
20070601 20070630   -17.1
20070701 20070731   -16.5
20070801 20070831   -18.7
20070901 20070930   -21.6
20071001 20071031   -16.0
20071101 20071130    -7.6
20071201 20071231    -4.6
20080101 20080131    -4.8
20080201 20080229    -7.9
20080301 20080331   -13.7
20080401 20080430   -16.0
20080501 20080531   -17.0
