MIN TEMP       200284 19600101 20201231 missing_value=99999.9 COCOS ISLAND AIRPORT                      
19890701 19890731    24.3
19890801 19890831    24.2
19890901 19890930    24.3
19891001 19891031    24.2
19891101 19891130    24.6
19891201 19891231    24.8
19900101 19900131    24.5
19900201 19900228    25.7
19900301 19900331    25.5
19900401 19900430    25.8
19900501 19900531    25.5
19900601 19900630    24.7
19900701 19900731    24.0
19900801 19900831    23.7
19900901 19900930    23.9
19901001 19901031    25.2
19901101 19901130    25.1
19901201 19901231    25.2
19910101 19910131    24.9
19910201 19910228    25.2
19910301 19910331    25.9
19910401 19910430    25.6
19910501 19910531    26.1
19910601 19910630    25.1
19910701 19910731    24.4
19910801 19910831    24.3
19910901 19910930    23.9
19911001 19911031    24.7
19911101 19911130    24.1
19911201 19911231    24.3
19920101 19920131    25.1
19920201 19920229    24.9
19920301 19920331    26.2
19920401 19920430    26.3
19920501 19920531    25.4
19920601 19920630    24.8
19920701 19920731    24.6
19920801 19920831    24.0
19920901 19920930    23.6
19921001 19921031    23.7
19921101 19921130    24.4
19921201 19921231    24.4
19930101 19930131    25.0
19930201 19930228    25.1
19930301 19930331    25.2
19930401 19930430    25.4
19930501 19930531    25.5
19930601 19930630    24.4
19930701 19930731    24.7
19930801 19930831    24.2
19930901 19930930    24.5
19931001 19931031    23.9
19931101 19931130    24.5
19931201 19931231    24.6
19940101 19940131    24.6
19940201 19940228    25.0
19940301 19940331    24.7
19940401 19940430    25.2
19940501 19940531    24.5
19940601 19940630    23.9
19940701 19940731    23.0
19940801 19940831    23.9
19940901 19940930    23.0
19941001 19941031    24.1
19941101 19941130    24.9
19941201 19941231    24.6
19950101 19950131    24.8
19950201 19950228    24.9
19950301 19950331    25.2
19950401 19950430    25.0
19950501 19950531    26.2
19950601 19950630    24.5
19950701 19950731    24.2
19950801 19950831    24.6
19950901 19950930    23.8
19951001 19951031    24.7
19951101 19951130    24.8
19951201 19951231    24.4
19960101 19960131    25.4
19960201 19960229    25.7
19960301 19960331    25.2
19960401 19960430    25.8
19960501 19960531    25.4
19960601 19960630    25.5
19960701 19960731    24.4
19960801 19960831    24.3
19960901 19960930    24.8
19961001 19961031    25.2
19961101 19961130    25.3
19961201 19961231    24.5
19970101 19970131    25.0
19970201 19970228    24.6
19970301 19970331    25.4
19970401 19970430    25.5
19970501 19970531    25.3
19970601 19970630    25.7
19970701 19970731    24.7
19970801 19970831    23.3
19970901 19970930    23.8
19971001 19971031    24.4
19971101 19971130    24.8
19971201 19971231    25.7
19980101 19980131    25.7
19980201 19980228    26.6
19980301 19980331    26.8
19980401 19980430    26.6
19980501 19980531    26.1
19980601 19980630    25.1
19980701 19980731    24.5
19980801 19980831    24.9
19980901 19980930    24.7
19981001 19981031    25.3
19981101 19981130    25.6
19981201 19981231    25.6
19990101 19990131    25.8
19990201 19990228    25.4
19990301 19990331    25.7
19990401 19990430    26.1
19990501 19990531    25.9
19990601 19990630    25.7
19990701 19990731    24.6
19990801 19990831    25.4
19990901 19990930    25.8
19991001 19991031    25.8
