MIN TEMP       200288 19440101 20201231 missing_value=99999.9 NORFOLK ISLAND AERO                       
19891001 19891031    15.4
19891101 19891130    16.7
19891201 19891231    17.5
19900101 19900131    19.7
19900201 19900228    20.8
19900301 19900331    20.5
19900401 19900430    18.5
19900501 19900531    16.7
19900601 19900630    14.6
19900701 19900731    13.9
19900801 19900831    13.9
19900901 19900930    13.3
19901001 19901031    15.2
19901101 19901130    16.6
19901201 19901231    18.8
19910101 19910131    19.8
19910201 19910228    19.7
19910301 19910331    18.6
19910401 19910430    17.0
19910501 19910531    15.2
19910601 19910630    14.4
19910701 19910731    14.1
19910801 19910831    13.5
19910901 19910930    14.2
19911001 19911031    14.8
19911101 19911130    14.8
19911201 19911231    17.6
19920101 19920131    19.2
19920201 19920229    20.2
19920301 19920331    18.9
19920401 19920430    17.0
19920501 19920531    15.7
19920601 19920630    14.7
19920701 19920731    13.4
19920801 19920831    13.0
19920901 19920930    13.6
19921001 19921031    13.7
19921101 19921130    16.2
19921201 19921231    17.8
19930101 19930131    18.8
19930201 19930228    18.4
19930301 19930331    18.6
19930401 19930430    16.4
19930501 19930531    15.8
19930601 19930630    14.1
19930701 19930731    14.9
19930801 19930831    13.6
19930901 19930930    13.9
19931001 19931031    15.0
19931101 19931130    15.5
19931201 19931231    17.0
19940101 19940131    20.5
19940201 19940228    19.3
19940301 19940331    18.3
19940401 19940430    17.2
19940501 19940531    16.0
19940601 19940630    14.3
19940701 19940731    12.7
19940801 19940831    12.9
19940901 19940930    13.2
19941001 19941031    14.5
19941101 19941130    16.7
19941201 19941231    17.8
19950101 19950131    19.7
19950201 19950228    19.6
19950301 19950331    19.3
19950401 19950430    18.6
19950501 19950531    16.8
19950601 19950630    14.1
19950701 19950731    13.5
19950801 19950831    12.5
19950901 19950930    14.8
19951001 19951031    15.3
19951101 19951130    17.8
19951201 19951231    18.8
19960101 19960131    20.0
19960201 19960229    21.7
19960301 19960331    19.4
19960401 19960430    18.9
19960501 19960531    16.8
19960601 19960630    14.5
19960701 19960731    14.4
19960801 19960831    14.5
19960901 19960930    15.3
19961001 19961031    15.7
19961101 19961130    16.1
19961201 19961231    18.8
19970101 19970131    18.6
19970201 19970228    19.1
19970301 19970331    18.7
19970401 19970430    16.5
19970501 19970531    16.4
19970601 19970630    14.4
19970701 19970731    13.2
19970801 19970831    12.2
19970901 19970930    14.2
19971001 19971031    14.5
