MIN TEMP       200839 19400101 20201231 missing_value=99999.9 LORD HOWE ISL. AERO                       
20150701 20150731    13.7
20150801 20150831    14.0
20150901 20150930    13.7
20151001 20151031    16.4
20151101 20151130    18.1
20151201 20151231    19.3
20160101 20160131    19.7
20160201 20160229    21.8
20160301 20160331    21.2
20160401 20160430    19.3
20160501 20160531    18.1
20160601 20160630    14.8
20160701 20160731    15.4
20160801 20160831    13.7
20160901 20160930    16.2
20161001 20161031    15.5
20161101 20161130    17.1
20161201 20161231    20.3
20170101 20170131    22.2
20170201 20170228    22.1
20170301 20170331    20.8
20170401 20170430    18.1
20170501 20170531    16.0
20170601 20170630    15.1
20170701 20170731    13.3
20170801 20170831    13.7
20170901 20170930    15.2
20171001 20171031    17.3
20171101 20171130    17.3
20171201 20171231    20.6
20180101 20180131    21.2
20180201 20180228    20.6
20180301 20180331    20.7
20180401 20180430    19.2
20180501 20180531    16.2
20180601 20180630    14.1
20180701 20180731    13.3
20180801 20180831    12.8
20180901 20180930    14.5
20181001 20181031    16.4
20181101 20181130    17.9
20181201 20181231    19.5
20190101 20190131    22.2
20190201 20190228    22.0
20190301 20190331    21.7
20190401 20190430    18.5
20190501 20190531    16.0
20190601 20190630    14.6
20190701 20190731    14.2
20190801 20190831    13.8
20190901 20190930    15.4
20191001 20191031    14.4
20191101 20191130    17.0
20191201 20191231    19.4
20200101 20200131    21.9
20200201 20200229    22.1
20200301 20200331    19.3
20200401 20200430    18.0
20200501 20200531    16.8
20200601 20200630    14.5
20200701 20200731    14.7
20200801 20200831    13.7
20200901 20200930    14.8
20201001 20201031    16.9
20201101 20201130    17.6
20201201 20201231    20.1
