MIN TEMP       300017 19700101 20201231 missing_value=99999.9 CASEY                                     
20080101 20080131    -3.2
20080201 20080229    -6.3
20080301 20080331   -10.7
20080401 20080430   -13.2
20080501 20080531   -15.5
20080601 20080630   -16.9
20080701 20080731   -16.5
20080801 20080831   -16.9
20080901 20080930   -18.4
20081001 20081031   -17.0
20081101 20081130    -8.8
20081201 20081231    -4.2
20090101 20090131    -2.8
20090201 20090228    -3.8
20090301 20090331    -8.0
20090401 20090430   -14.5
20090501 20090531   -14.6
20090601 20090630   -16.1
20090701 20090731   -13.0
20090801 20090831   -18.6
20090901 20090930   -14.2
20091001 20091031   -13.1
20091101 20091130    -9.0
20091201 20091231    -3.4
20100101 20100131    -1.2
20100201 20100228    -5.9
20100301 20100331   -10.8
20100401 20100430   -18.4
20100501 20100531   -17.7
20100601 20100630   -16.8
20100701 20100731   -20.2
20100801 20100831   -21.0
20100901 20100930   -17.7
20101001 20101031   -15.0
20101101 20101130    -9.3
20101201 20101231    -4.2
20110101 20110131    -1.5
20110201 20110228    -6.0
20110301 20110331   -10.1
20110401 20110430   -11.5
20110501 20110531   -19.2
20110601 20110630   -21.3
20110701 20110731   -20.4
20110801 20110831   -16.7
20110901 20110930   -16.9
20111001 20111031   -14.3
20111101 20111130   -10.7
20111201 20111231    -3.4
20120101 20120131    -3.5
20120201 20120229    -5.5
20120301 20120331    -9.2
20120401 20120430   -13.8
20120501 20120531   -16.1
20120601 20120630   -21.9
20120701 20120731   -22.1
20120801 20120831   -19.3
20120901 20120930   -18.7
20121001 20121031   -12.8
20121101 20121130    -7.9
20121201 20121231    -4.3
20130101 20130131    -2.2
20130201 20130228    -5.9
20130301 20130331   -13.2
20130401 20130430   -16.8
20130501 20130531   -15.0
20130601 20130630   -17.6
20130701 20130731   -22.5
20130801 20130831   -19.9
20130901 20130930   -12.0
20131001 20131031   -15.1
20131101 20131130    -9.6
20131201 20131231    -4.1
20140101 20140131    -1.4
20140201 20140228    -4.9
20140301 20140331   -11.7
20140401 20140430   -17.0
20140501 20140531   -18.3
20140601 20140630   -23.8
20140701 20140731   -18.5
20140801 20140831   -24.6
20140901 20140930   -15.6
20141001 20141031   -14.1
20141101 20141130    -6.2
20141201 20141231    -2.8
20150101 20150131    -2.3
20150201 20150228    -3.7
20150301 20150331    -9.4
20150401 20150430   -17.3
20150501 20150531   -20.2
20150601 20150630   -16.5
20150701 20150731   -22.8
20150801 20150831   -20.9
20150901 20150930   -19.2
20151001 20151031   -17.4
20151101 20151130    -9.4
20151201 20151231    -3.3
20160101 20160131    -3.7
20160201 20160229    -6.0
20160301 20160331   -10.4
20160401 20160430   -15.2
20160501 20160531   -14.6
20160601 20160630   -20.9
20160701 20160731   -21.6
20160801 20160831   -15.8
20160901 20160930   -19.9
20161001 20161031   -12.5
20161101 20161130    -6.7
20161201 20161231    -2.8
20170101 20170131    -2.0
20170201 20170228    -4.1
20170301 20170331    -8.5
20170401 20170430   -13.0
20170501 20170531   -17.1
20170601 20170630   -22.9
20170701 20170731   -22.5
20170801 20170831   -20.2
20170901 20170930   -19.8
20171001 20171031   -16.5
20171101 20171130    -7.9
20171201 20171231    -4.1
20180101 20180131    -2.5
20180201 20180228    -4.9
20180301 20180331   -11.9
20180401 20180430   -10.3
20180501 20180531   -19.1
20180601 20180630   -16.2
20180701 20180731   -14.1
20180801 20180831   -23.2
20180901 20180930   -21.4
20181001 20181031   -14.1
20181101 20181130    -7.3
20181201 20181231    -3.7
20190101 20190131    -2.7
20190201 20190228    -5.1
20190301 20190331    -8.3
20190401 20190430   -13.4
20190501 20190531   -19.6
20190601 20190630   -20.2
20190701 20190731   -17.5
20190801 20190831   -17.5
20190901 20190930   -20.1
20191001 20191031   -15.4
20191101 20191130    -8.4
20191201 20191231    -4.0
20200101 20200131    -1.4
20200201 20200229    -4.9
20200301 20200331   -12.0
20200401 20200430    -9.6
20200501 20200531   -17.7
20200601 20200630   -19.7
20200701 20200731   -17.0
20200801 20200831   -21.5
20200901 20200930   -16.6
20201001 20201031   -14.7
20201101 20201130    -9.1
20201201 20201231    -4.9
