TMAX       300004 19500501 20201231 missing_value=99999.9 MACQUARIE ISLAND                          
19910801 19910831     5.4
19910901 19910930     5.9
19911001 19911031     6.1
19911101 19911130     6.8
19911201 19911231     8.0
19920101 19920131     9.4
19920201 19920229     8.5
19920301 19920331     7.4
19920401 19920430     6.7
19920501 19920531     5.4
19920601 19920630     4.5
19920701 19920731     4.8
19920801 19920831     3.7
19920901 19920930     5.2
19921001 19921031     6.1
19921101 19921130     7.2
19921201 19921231     7.9
19930101 19930131     9.3
19930201 19930228     9.1
19930301 19930331     8.4
19930401 19930430     8.0
19930501 19930531     6.7
19930601 19930630     5.2
19930701 19930731     5.7
19930801 19930831     5.5
19930901 19930930     5.5
19931001 19931031     5.6
19931101 19931130     6.7
19931201 19931231     8.2
19940101 19940131     8.6
19940201 19940228     8.8
19940301 19940331     8.3
19940401 19940430     6.9
19940501 19940531     6.1
19940601 19940630     4.4
19940701 19940731     4.6
19940801 19940831     4.6
19940901 19940930     3.8
19941001 19941031     5.7
19941101 19941130     5.8
19941201 19941231     7.2
19950101 19950131     7.8
19950201 19950228     8.2
19950301 19950331     7.4
19950401 19950430     7.1
19950501 19950531     6.2
19950601 19950630     3.7
19950701 19950731     1.9
19950801 19950831     5.0
19950901 19950930     5.1
19951001 19951031     5.1
19951101 19951130     6.2
19951201 19951231     7.2
19960101 19960131     8.9
19960201 19960229     8.7
19960301 19960331     8.7
19960401 19960430     7.5
19960501 19960531     6.3
19960601 19960630     4.6
19960701 19960731     4.6
19960801 19960831     4.9
19960901 19960930     5.9
19961001 19961031     6.2
19961101 19961130     6.9
19961201 19961231     8.1
19970101 19970131     9.2
19970201 19970228     8.9
19970301 19970331     7.9
19970401 19970430     7.1
19970501 19970531     6.3
19970601 19970630     5.8
19970701 19970731     5.2
19970801 19970831     4.8
19970901 19970930     4.5
19971001 19971031     4.8
19971101 19971130     5.2
19971201 19971231     7.3
19980101 19980131     7.9
19980201 19980228     8.1
19980301 19980331     7.0
19980401 19980430     6.2
19980501 19980531     5.8
19980601 19980630     5.4
19980701 19980731     4.8
19980801 19980831     4.7
19980901 19980930     5.7
19981001 19981031     5.6
19981101 19981130     7.0
19981201 19981231     8.6
19990101 19990131     9.1
19990201 19990228     9.7
19990301 19990331     8.5
19990401 19990430     7.2
19990501 19990531     6.7
19990601 19990630     5.3
19990701 19990731     5.3
19990801 19990831     5.4
19990901 19990930     6.4
19991001 19991031     6.7
19991101 19991130     7.2
19991201 19991231     7.5
20000101 20000131     8.6
20000201 20000229     8.2
20000301 20000331     7.6
20000401 20000430     6.5
20000501 20000531     5.8
20000601 20000630     4.7
20000701 20000731     5.5
20000801 20000831     4.5
20000901 20000930     6.5
20001001 20001031     6.4
20001101 20001130     6.6
20001201 20001231     8.5
20010101 20010131     8.7
20010201 20010228     8.3
20010301 20010331     8.3
20010401 20010430     7.7
20010501 20010531     5.2
20010601 20010630     5.4
20010701 20010731     5.3
20010801 20010831     5.2
20010901 20010930     6.3
20011001 20011031     6.4
20011101 20011130     7.4
20011201 20011231     8.8
20020101 20020131    10.1
20020201 20020228    10.3
20020301 20020331     8.0
20020401 20020430     7.1
20020501 20020531     5.3
20020601 20020630     5.1
20020701 20020731     5.6
20020801 20020831     5.2
20020901 20020930     5.3
20021001 20021031     6.5
20021101 20021130     7.5
20021201 20021231     8.6
20030101 20030131     9.0
20030201 20030228     8.6
20030301 20030331     8.0
20030401 20030430     7.3
20030501 20030531     5.9
20030601 20030630     5.0
20030701 20030731     4.8
20030801 20030831     5.7
20030901 20030930     4.8
20031001 20031031     5.9
20031101 20031130     6.4
20031201 20031231     7.0
20040101 20040131     8.8
20040201 20040229     8.3
20040301 20040331     8.1
20040401 20040430     6.7
20040501 20040531     5.7
20040601 20040630     5.2
20040701 20040731     4.7
20040801 20040831     4.4
20040901 20040930     5.0
20041001 20041031     5.3
20041101 20041130     6.4
20041201 20041231     7.3
20050101 20050131     9.0
20050201 20050228     9.4
20050301 20050331     8.3
20050401 20050430     7.7
20050501 20050531     5.8
20050601 20050630     5.7
20050701 20050731     5.0
20050801 20050831     5.4
20050901 20050930     4.7
20051001 20051031     6.1
20051101 20051130     7.8
20051201 20051231     9.9
20060101 20060131     8.7
20060201 20060228     9.2
20060301 20060331     8.0
20060401 20060430     7.5
20060501 20060531     6.9
20060601 20060630     4.9
20060701 20060731     4.8
20060801 20060831     5.2
20060901 20060930     5.1
20061001 20061031     5.3
20061101 20061130     5.1
20061201 20061231     7.5
20070101 20070131     8.9
20070201 20070228     8.4
20070301 20070331     7.7
20070401 20070430     6.8
20070501 20070531     6.6
20070601 20070630     4.4
20070701 20070731     3.6
20070801 20070831     5.6
20070901 20070930     5.9
20071001 20071031     6.0
20071101 20071130     6.6
20071201 20071231     8.4
20080101 20080131     8.5
20080201 20080229     8.9
20080301 20080331     8.2
20080401 20080430     7.2
20080501 20080531     6.2
20080601 20080630     5.5
20080701 20080731     5.0
20080801 20080831     4.8
20080901 20080930     5.5
20081001 20081031     5.5
20081101 20081130     5.5
20081201 20081231     7.6
20090101 20090131     8.6
20090201 20090228     8.1
20090301 20090331     8.0
20090401 20090430     7.4
20090501 20090531     6.0
20090601 20090630     5.0
20090701 20090731     4.2
20090801 20090831     5.5
20090901 20090930     5.9
20091001 20091031     5.8
20091101 20091130     5.8
20091201 20091231     8.2
20100101 20100131     9.4
20100201 20100228     9.6
20100301 20100331     8.1
20100401 20100430     6.8
20100501 20100531     6.5
20100601 20100630     5.7
20100701 20100731     5.5
20100801 20100831     5.6
20100901 20100930     4.0
20101001 20101031     6.1
20101101 20101130     7.2
20101201 20101231     8.3
20110101 20110131     9.0
20110201 20110228     8.9
20110301 20110331     7.7
20110401 20110430     6.9
20110501 20110531     5.9
20110601 20110630     5.8
20110701 20110731     3.7
20110801 20110831     4.9
20110901 20110930     5.9
20111001 20111031     6.8
20111101 20111130     6.7
20111201 20111231     8.3
20120101 20120131     8.6
20120201 20120229     9.0
20120301 20120331     8.4
20120401 20120430     7.8
20120501 20120531     6.1
20120601 20120630     4.5
20120701 20120731     6.1
20120801 20120831     6.3
20120901 20120930     5.6
20121001 20121031     5.4
20121101 20121130     7.1
20121201 20121231     7.9
20130101 20130131     8.9
20130201 20130228     8.7
20130301 20130331     8.5
20130401 20130430     7.0
20130501 20130531     5.7
20130601 20130630     4.7
20130701 20130731     4.9
20130801 20130831     5.7
20130901 20130930     5.2
20131001 20131031     5.9
20131101 20131130     6.8
20131201 20131231     8.2
20140101 20140131     8.2
20140201 20140228     9.2
20140301 20140331     8.7
20140401 20140430     8.1
20140501 20140531     6.2
20140601 20140630     5.9
20140701 20140731     5.4
20140801 20140831     5.4
20140901 20140930     5.8
20141001 20141031     5.9
20141101 20141130     6.6
20141201 20141231     8.9
20150101 20150131     9.4
20150201 20150228     9.6
20150301 20150331     9.0
20150401 20150430     7.0
20150501 20150531     6.3
20150601 20150630     4.6
20150701 20150731     4.7
20150801 20150831     4.3
20150901 20150930     4.9
20151001 20151031     5.6
20151101 20151130     6.3
20151201 20151231     7.6
20160101 20160131     8.1
20160201 20160229     8.0
20160301 20160331     7.7
20160401 20160430     6.9
20160501 20160531     5.6
20160601 20160630     6.1
20160701 20160731     5.4
20160801 20160831     5.7
20160901 20160930     6.5
20161001 20161031     7.1
20161101 20161130     7.7
