TMAX       300001 19580101 20201231 missing_value=99999.9 MAWSON                                    
19860201 19860228     1.3
19860301 19860331    -6.6
19860401 19860430   -12.6
19860501 19860531   -11.1
19860601 19860630   -16.8
19860701 19860731   -16.3
19860801 19860831   -16.5
19860901 19860930   -13.4
19861001 19861031    -8.2
19861101 19861130    -3.4
19861201 19861231     1.4
19870101 19870131     3.0
19870201 19870228    -1.2
19870301 19870331    -6.8
19870401 19870430   -12.6
19870501 19870531   -16.0
19870601 19870630   -11.6
19870701 19870731   -13.4
19870801 19870831   -18.6
19870901 19870930   -16.9
19871001 19871031   -10.2
19871101 19871130    -3.3
19871201 19871231     2.1
19880101 19880131     3.3
19880201 19880229    -2.8
19880301 19880331    -3.9
19880401 19880430   -12.4
19880501 19880531   -11.8
19880601 19880630   -11.5
19880701 19880731   -15.5
19880801 19880831   -12.6
19880901 19880930   -12.4
19881001 19881031    -7.0
19881101 19881130    -3.9
19881201 19881231     1.1
19890101 19890131     2.3
19890201 19890228    -1.0
19890301 19890331    -8.4
19890401 19890430   -13.9
19890501 19890531   -18.4
19890601 19890630   -14.6
19890701 19890731   -15.8
19890801 19890831   -12.0
19890901 19890930   -11.1
19891001 19891031    -7.5
19891101 19891130    -4.4
19891201 19891231     3.3
19900101 19900131     3.5
19900201 19900228    -1.5
19900301 19900331    -7.0
19900401 19900430    -7.8
19900501 19900531   -11.7
19900601 19900630   -13.6
19900701 19900731   -13.5
19900801 19900831   -17.0
19900901 19900930   -16.0
19901001 19901031    -9.1
19901101 19901130    -2.3
19901201 19901231     2.1
19910101 19910131     1.6
19910201 19910228    -0.1
19910301 19910331    -5.1
19910401 19910430    -7.6
19910501 19910531   -12.5
19910601 19910630   -11.1
19910701 19910731   -10.1
19910801 19910831   -14.0
19910901 19910930   -14.5
19911001 19911031   -10.8
19911101 19911130    -2.9
19911201 19911231     4.2
19920101 19920131     3.4
19920201 19920229     0.2
19920301 19920331    -6.3
19920401 19920430   -12.3
19920501 19920531   -12.9
19920601 19920630   -13.9
19920701 19920731   -16.4
19920801 19920831   -14.4
19920901 19920930   -17.8
19921001 19921031    -9.5
19921101 19921130    -3.0
19921201 19921231     0.4
19930101 19930131     2.9
19930201 19930228    -0.9
19930301 19930331    -8.1
19930401 19930430   -13.8
19930501 19930531   -15.8
19930601 19930630   -15.5
19930701 19930731   -18.7
19930801 19930831   -18.3
19930901 19930930   -16.1
19931001 19931031    -9.8
19931101 19931130    -3.9
19931201 19931231     0.9
19940101 19940131     1.5
19940201 19940228    -1.7
19940301 19940331    -8.5
19940401 19940430   -12.7
19940501 19940531   -17.4
19940601 19940630    -9.4
19940701 19940731   -12.5
19940801 19940831   -17.3
19940901 19940930   -11.7
19941001 19941031    -9.1
19941101 19941130    -3.5
19941201 19941231     0.7
19950101 19950131     0.4
19950201 19950228    -2.2
19950301 19950331    -7.1
19950401 19950430    -9.5
19950501 19950531   -13.8
19950601 19950630   -14.7
19950701 19950731    -6.5
19950801 19950831   -17.3
19950901 19950930   -14.9
19951001 19951031   -11.0
19951101 19951130    -3.0
19951201 19951231     1.8
19960101 19960131     2.4
19960201 19960229    -0.7
19960301 19960331    -6.8
19960401 19960430   -12.4
19960501 19960531   -18.2
19960601 19960630   -11.9
19960701 19960731   -15.0
19960801 19960831   -10.7
19960901 19960930   -10.7
19961001 19961031    -9.5
19961101 19961130    -1.6
19961201 19961231     1.8
19970101 19970131     1.9
19970201 19970228    -1.7
19970301 19970331    -5.5
19970401 19970430   -12.8
19970501 19970531   -15.5
19970601 19970630   -12.2
19970701 19970731   -15.9
19970801 19970831   -15.3
19970901 19970930   -17.3
19971001 19971031   -10.4
19971101 19971130    -1.9
19971201 19971231     1.6
19980101 19980131     1.6
19980201 19980228    -1.7
19980301 19980331    -8.0
19980401 19980430   -16.0
19980501 19980531   -14.4
19980601 19980630   -11.7
19980701 19980731   -15.5
19980801 19980831   -13.5
19980901 19980930   -14.6
19981001 19981031   -11.2
19981101 19981130    -2.6
19981201 19981231     1.9
19990101 19990131     1.3
19990201 19990228    -2.3
19990301 19990331    -7.0
19990401 19990430   -13.9
19990501 19990531   -14.8
19990601 19990630   -11.3
19990701 19990731   -16.7
19990801 19990831   -15.3
19990901 19990930   -14.5
19991001 19991031   -10.7
19991101 19991130    -3.8
19991201 19991231     0.1
20000101 20000131     1.0
20000201 20000229    -3.1
20000301 20000331    -7.6
20000401 20000430    -8.7
20000501 20000531   -15.1
20000601 20000630   -11.8
20000701 20000731   -15.0
20000801 20000831   -12.7
20000901 20000930   -12.2
20001001 20001031   -13.0
20001101 20001130    -1.7
20001201 20001231     1.7
20010101 20010131     2.3
20010201 20010228    -1.7
20010301 20010331    -7.2
20010401 20010430   -12.9
20010501 20010531   -11.8
20010601 20010630   -12.8
20010701 20010731   -14.0
20010801 20010831   -17.6
20010901 20010930   -15.6
20011001 20011031    -9.3
20011101 20011130    -2.7
20011201 20011231     1.0
20020101 20020131     2.7
20020201 20020228    -1.9
20020301 20020331    -6.2
20020401 20020430    -9.9
20020501 20020531    -8.8
20020601 20020630   -12.0
20020701 20020731   -13.2
20020801 20020831   -17.5
20020901 20020930   -12.7
20021001 20021031    -8.8
20021101 20021130    -3.3
20021201 20021231     0.9
20030101 20030131     2.5
20030201 20030228     0.8
20030301 20030331    -7.0
20030401 20030430   -13.1
20030501 20030531   -14.0
20030601 20030630   -13.2
20030701 20030731   -15.0
20030801 20030831   -16.0
20030901 20030930   -13.3
20031001 20031031   -10.5
20031101 20031130    -3.2
