TMAX       200839 19400101 20201231 missing_value=99999.9 LORD HOWE ISL. AERO                       
19640401 19640430    23.0
19640501 19640531    20.9
19640601 19640630    19.5
19640701 19640731    18.7
19640801 19640831    18.4
19640901 19640930    19.0
19641001 19641031    19.5
19641101 19641130    21.0
19641201 19641231    23.2
19650101 19650131    23.8
19650201 19650228    23.8
19650301 19650331    24.3
19650401 19650430    23.1
19650501 19650531    21.2
19650601 19650630    18.6
19650701 19650731    17.5
19650801 19650831    18.3
19650901 19650930    20.7
19651001 19651031    20.8
19651101 19651130    21.7
19651201 19651231    23.6
19660101 19660131    24.0
19660201 19660228    25.4
19660301 19660331    24.1
19660401 19660430    22.7
19660501 19660531    19.9
19660601 19660630    18.9
19660701 19660731    18.0
19660801 19660831    17.9
19660901 19660930    18.9
19661001 19661031    19.5
19661101 19661130    21.9
19661201 19661231    23.1
19670101 19670131    24.6
19670201 19670228    24.2
19670301 19670331    23.3
19670401 19670430    22.1
19670501 19670531    20.7
19670601 19670630    19.5
19670701 19670731    18.5
19670801 19670831    18.4
19670901 19670930    19.2
19671001 19671031    21.3
19671101 19671130    21.6
19671201 19671231    22.1
19680101 19680131    24.6
19680201 19680229    25.5
19680301 19680331    26.2
19680401 19680430    24.2
19680501 19680531    21.1
19680601 19680630    18.5
19680701 19680731    17.3
19680801 19680831    18.4
19680901 19680930    18.7
19681001 19681031    20.9
19681101 19681130    22.8
19681201 19681231    22.6
19690101 19690131    25.4
19690201 19690228    24.4
19690301 19690331    24.4
19690401 19690430    23.5
19690501 19690531    21.1
19690601 19690630    19.1
19690701 19690731    18.3
19690801 19690831    18.8
19690901 19690930    18.7
19691001 19691031    20.0
19691101 19691130    22.0
19691201 19691231    23.9
19700101 19700131    25.8
19700201 19700228    25.3
19700301 19700331    25.1
19700401 19700430    23.1
19700501 19700531    20.2
19700601 19700630    19.5
19700701 19700731    18.5
19700801 19700831    18.5
19700901 19700930    18.8
19701001 19701031    20.7
19701101 19701130    21.4
19701201 19701231    24.9
19710101 19710131    26.0
19710201 19710228    26.1
19710301 19710331    24.8
19710401 19710430    23.5
19710501 19710531    21.3
19710601 19710630    19.2
19710701 19710731    18.1
19710801 19710831    18.8
19710901 19710930    19.4
19711001 19711031    20.5
19711101 19711130    20.9
19711201 19711231    23.1
19720101 19720131    24.3
19720201 19720229    24.2
19720301 19720331    23.7
19720401 19720430    22.7
19720501 19720531    20.3
19720601 19720630    19.1
19720701 19720731    18.4
19720801 19720831    18.0
19720901 19720930    19.3
19721001 19721031    20.6
19721101 19721130    21.5
19721201 19721231    23.9
19730101 19730131    25.8
19730201 19730228    25.6
19730301 19730331    25.5
19730401 19730430    23.9
19730501 19730531    22.4
19730601 19730630    20.1
19730701 19730731    18.9
19730801 19730831    19.3
19730901 19730930    20.0
19731001 19731031    21.5
19731101 19731130    23.2
19731201 19731231    24.4
19740101 19740131    25.0
19740201 19740228    25.8
19740301 19740331    24.6
19740401 19740430    23.1
19740501 19740531    20.8
19740601 19740630    19.9
19740701 19740731    19.2
19740801 19740831    18.0
19740901 19740930    19.0
19741001 19741031    19.7
19741101 19741130    21.2
19741201 19741231    22.9
19750101 19750131    24.1
19750201 19750228    25.3
19750301 19750331    24.9
19750401 19750430    22.9
19750501 19750531    22.0
19750601 19750630    19.6
19750701 19750731    19.3
19750801 19750831    18.9
19750901 19750930    19.2
19751001 19751031    20.2
19751101 19751130    22.2
19751201 19751231    24.4
19760101 19760131    24.6
19760201 19760229    23.9
19760301 19760331    24.9
19760401 19760430    22.6
19760501 19760531    20.8
19760601 19760630    19.4
19760701 19760731    18.8
19760801 19760831    18.6
19760901 19760930    18.4
19761001 19761031    20.1
19761101 19761130    22.1
19761201 19761231    24.2
19770101 19770131    24.2
19770201 19770228    25.5
19770301 19770331    25.6
19770401 19770430    23.6
19770501 19770531    21.5
19770601 19770630    19.2
19770701 19770731    18.3
19770801 19770831    19.0
19770901 19770930    19.2
19771001 19771031    21.4
19771101 19771130    22.5
19771201 19771231    24.0
19780101 19780131    25.5
19780201 19780228    26.1
19780301 19780331    25.5
19780401 19780430    23.4
19780501 19780531    21.1
19780601 19780630    19.5
19780701 19780731    18.4
19780801 19780831    18.2
19780901 19780930    19.1
19781001 19781031    19.2
19781101 19781130    21.8
19781201 19781231    23.4
19790101 19790131    25.4
19790201 19790228    25.2
19790301 19790331    24.6
19790401 19790430    22.8
19790501 19790531    20.4
