TMAX       200283 19390101 20201231 missing_value=99999.9 WILLIS ISLAND                             
19560901 19560930    27.1
19561001 19561031    29.8
19561101 19561130    30.4
19561201 19561231    30.9
19570101 19570131    30.4
19570201 19570228    29.0
19570301 19570331    29.8
19570401 19570430    28.6
19570501 19570531    27.1
19570601 19570630    26.0
19570701 19570731    25.9
19570801 19570831    25.6
19570901 19570930    27.0
19571001 19571031    28.8
19571101 19571130    29.9
19571201 19571231    30.9
19580101 19580131    31.0
19580201 19580228    31.2
19580301 19580331    30.9
19580401 19580430    30.1
19580501 19580531    29.3
19580601 19580630    27.3
19580701 19580731    26.6
19580801 19580831    27.0
19580901 19580930    28.0
19581001 19581031    28.7
19581101 19581130    29.6
19581201 19581231    30.5
19590101 19590131    30.4
19590201 19590228    29.4
19590301 19590331    28.5
19590401 19590430    28.5
19590501 19590531    27.3
19590601 19590630    26.3
19590701 19590731    25.0
19590801 19590831    25.3
19590901 19590930    27.2
19591001 19591031    28.3
19591101 19591130    30.5
19591201 19591231    31.6
19600101 19600131    31.2
19600201 19600229    30.8
19600301 19600331    28.6
19600401 19600430    28.4
19600501 19600531    27.5
19600601 19600630    26.2
19600701 19600731    25.1
19600801 19600831    25.7
19600901 19600930    27.5
19601001 19601031    28.8
19601101 19601130    30.2
19601201 19601231    30.5
19610101 19610131    29.5
19610201 19610228    31.3
19610301 19610331    30.1
19610401 19610430    29.3
19610501 19610531    27.2
19610601 19610630    26.3
19610701 19610731    26.1
19610801 19610831    25.9
19610901 19610930    26.5
19611001 19611031    27.9
19611101 19611130    29.7
19611201 19611231    30.5
19620101 19620131    31.2
19620201 19620228    30.4
19620301 19620331    30.2
19620401 19620430    29.1
19620501 19620531    28.0
19620601 19620630    27.1
19620701 19620731    26.1
19620801 19620831    25.9
19620901 19620930    27.5
19621001 19621031    29.8
19621101 19621130    30.3
19621201 19621231    30.5
19630101 19630131    30.9
19630201 19630228    30.8
19630301 19630331    29.9
19630401 19630430    28.6
19630501 19630531    28.0
19630601 19630630    26.7
19630701 19630731    25.6
19630801 19630831    26.3
