Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Tauranga Aero,1612,B76621,-37.67242,176.19635,0,H,N/A
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Max_min: Daily
Station,Date(UTC),Tmax(C),Period(Hrs),Tmin(C),Period(Hrs),Tgmin(C),Period(Hrs),Tmean(C),RHmean(%),Period(Hrs),Freq
1612,19411113:2100,17.8,24,9.6,24,-,-,-,-,-,D
1612,19411114:2100,18.4,24,10.1,24,-,-,-,-,-,D
1612,19411115:2100,19.5,24,7.3,24,-,-,-,-,-,D
1612,19411116:2100,20.6,24,14.5,24,-,-,-,-,-,D
1612,19411117:2100,19.6,24,9.6,24,-,-,-,-,-,D
1612,19411118:2100,17.3,24,4.1,24,-,-,-,-,-,D
1612,19411119:2100,18.6,24,6.7,24,-,-,-,-,-,D
1612,19411120:2100,20.2,24,9.6,24,-,-,-,-,-,D
1612,19411121:2100,22.8,24,12.4,24,-,-,-,-,-,D
1612,19411122:2100,21.3,24,12.9,24,-,-,-,-,-,D
1612,19411123:2100,19.7,24,15.6,24,-,-,-,-,-,D
1612,19411124:2100,21.2,24,15.6,24,-,-,-,-,-,D
1612,19411125:2100,20.0,24,12.4,24,-,-,-,-,-,D
1612,19411126:2100,21.3,24,11.2,24,-,-,-,-,-,D
1612,19411127:2100,20.2,24,6.8,24,-,-,-,-,-,D
1612,19411128:2100,18.6,24,9.1,24,-,-,-,-,-,D
1612,19411129:2100,17.9,24,5.1,24,-,-,-,-,-,D
1612,19411130:2100,18.0,24,5.2,24,-,-,-,-,-,D
1612,19411201:2100,21.2,24,13.6,24,-,-,-,-,-,D
1612,19411202:2100,25.2,24,14.1,24,-,-,-,-,-,D
1612,19411203:2100,26.3,24,7.4,24,-,-,-,-,-,D
1612,19411204:2100,19.5,24,14.0,24,-,-,-,-,-,D
1612,19411205:2100,20.2,24,10.2,24,-,-,-,-,-,D
1612,19411206:2100,20.2,24,13.4,24,-,-,-,-,-,D
1612,19411207:2100,20.2,24,15.7,24,-,-,-,-,-,D
1612,19411208:2100,21.7,24,16.8,24,-,-,-,-,-,D
1612,19411209:2100,22.3,24,15.3,24,-,-,-,-,-,D
1612,19411210:2100,22.2,24,16.2,24,-,-,-,-,-,D
1612,19411211:2100,22.3,24,16.0,24,-,-,-,-,-,D
1612,19411212:2100,21.9,24,17.2,24,-,-,-,-,-,D
1612,19411213:2100,24.6,24,17.1,24,-,-,-,-,-,D
