#title = mean sea level anomaly global ocean (Annual signals removed) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (https://www.star.nesdis.noaa.gov/socd/lsa/RADS.php) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 3.10 mm/year (no glacial isostatic adjustment correction) 
year,sea-level [mm]
1997-06-29,-1.910
1997-07-09,-0.670
1997-07-19,1.540
1997-07-29,0.040
1997-08-18,0.280
1997-08-28,0.980
1997-09-07,1.470
1997-09-17,4.060
1997-09-27,2.850
1997-10-16,-0.640
1997-10-26,1.780
1997-11-05,2.550
1997-11-15,-2.670
1997-11-25,-3.320
1997-12-05,-2.970
1997-12-15,-4.030
1997-12-25,-1.200
1998-01-04,-2.560
1998-01-14,-0.310
1998-02-02,-0.290
1998-02-12,-0.290
1998-02-22,-1.080
1998-03-04,-2.130
1998-03-14,-0.790
1998-03-24,-0.320
1998-04-03,-2.260
1998-04-13,-0.680
1998-04-23,0.650
1998-05-03,-1.280
1998-05-13,-1.980
1998-06-01,-3.890
1998-06-11,-2.720
1998-06-21,-2.170
1998-07-01,0.420
1998-07-11,-0.900
1998-07-21,-3.730
1998-08-10,-1.800
1998-08-20,-4.410
1998-08-30,-2.120
1998-09-08,-3.520
1998-09-18,-5.110
1998-09-28,-6.470
1998-10-08,-5.790
1998-10-28,-2.840
1998-11-07,-5.400
1998-11-17,-5.350
1998-11-27,-8.450
1998-12-07,-3.760
1998-12-17,-4.100
1998-12-26,-3.960
1999-01-05,-5.220
1999-01-15,-2.600
1999-02-04,-4.550
1999-02-15,-0.190
1999-02-24,-4.290
1999-03-06,-6.960
1999-03-16,-6.240
1999-03-26,-2.880
1999-04-05,-4.020
1999-04-14,-5.330
1999-05-04,-4.710
1999-05-14,-5.010
1999-05-24,-6.440
1999-06-03,-5.150
1999-06-13,-6.910
1999-06-23,-7.200
1999-07-03,-5.760
1999-07-13,-4.530
1999-07-23,-6.430
1999-08-01,-2.610
1999-08-11,-5.670
1999-08-21,-2.810
1999-09-10,-5.420
1999-09-20,-1.970
1999-09-30,-1.670
1999-10-10,0.450
1999-10-20,-0.910
1999-10-30,-1.540
1999-11-09,-2.940
1999-11-19,-0.420
1999-11-28,-1.520
1999-12-18,2.940
1999-12-28,0.880
2000-01-07,-0.200
2000-01-17,2.610
2000-01-27,3.850
2000-02-06,0.890
2000-02-16,-1.370
2000-02-26,1.890
2000-03-07,-0.110
2000-03-17,0.000
2000-03-27,4.160
2000-04-15,-1.180
2000-04-25,-0.230
2000-05-05,-2.150
2000-05-15,-0.950
2000-05-25,0.020
2000-06-04,-0.220
2000-06-14,-1.010
2000-06-24,-3.140
2000-07-04,-0.050
2000-07-14,2.630
2000-08-03,-1.260
2000-08-13,-0.250
2000-08-23,-0.010
2000-09-02,-3.120
2000-09-11,-2.700
2000-09-21,3.390
2000-10-01,3.020
2000-10-11,1.510
2000-10-21,0.320
2000-11-10,3.140
2000-11-20,3.190
2000-11-30,3.550
2000-12-10,1.080
2000-12-20,-0.130
2000-12-30,4.620
2001-01-09,5.930
2001-01-28,3.020
2001-02-07,2.430
2001-02-17,2.240
2001-02-27,3.460
2001-03-09,7.750
2001-03-19,2.150
2001-03-29,5.110
2001-04-08,4.370
2001-04-18,5.270
2001-04-28,3.830
2001-05-08,4.720
2001-05-17,5.820
2001-05-27,4.170
2001-06-06,2.520
2001-06-16,2.680
2001-06-26,9.010
2001-07-06,10.050
2001-07-16,9.380
2001-07-26,6.780
2001-08-05,10.000
2001-08-15,4.970
2001-08-25,4.990
2001-09-03,5.980
2001-09-13,8.920
2001-09-23,8.430
2001-10-03,8.930
2001-10-13,6.090
2001-10-23,4.060
2001-11-02,9.180
2001-11-12,10.220
2001-11-22,7.280
2001-12-02,4.110
2001-12-16,8.180
2001-12-21,4.910
2001-12-31,8.260
2002-01-10,3.910
2002-01-20,0.120
2002-01-20,2.310
2002-01-30,7.990
2002-01-30,7.250
2002-02-09,7.860
2002-02-09,8.930
2002-02-19,9.730
2002-02-19,9.640
2002-03-01,9.555
2002-03-11,6.400
2002-03-11,2.820
2002-03-21,4.990
2002-03-21,4.440
2002-03-31,3.660
2002-03-31,4.150
2002-04-09,5.720
2002-04-10,8.420
2002-04-19,4.240
2002-04-20,3.140
2002-04-29,5.915
2002-05-09,4.640
2002-05-09,6.190
2002-05-19,5.845
2002-05-29,4.970
2002-06-08,3.495
2002-06-18,7.105
2002-06-28,9.660
2002-07-08,6.870
2002-07-18,9.160
2002-07-18,7.220
2002-07-27,10.205
2002-08-06,12.360
2002-08-16,12.600
2002-08-16,12.370
2002-08-26,8.770
2002-08-28,12.040
2002-09-05,8.880
2002-09-05,6.350
2002-09-15,6.490
2002-09-15,6.290
2002-09-25,7.300
2002-09-25,8.580
2002-10-05,7.020
2002-10-05,2.140
2002-10-14,9.590
2002-10-15,10.660
2002-10-25,13.360
2002-10-25,14.810
2002-11-04,5.240
2002-11-04,6.910
2002-11-13,6.010
2002-11-23,9.770
2002-11-24,8.440
2002-12-03,13.610
2002-12-03,9.410
2002-12-13,11.925
2002-12-23,7.300
2002-12-23,7.660
2003-01-02,7.230
2003-01-02,10.900
2003-01-12,9.460
2003-01-12,7.230
2003-01-22,13.165
2003-02-01,13.170
2003-02-11,16.225
2003-02-21,8.830
2003-02-21,9.760
2003-03-02,11.700
2003-03-02,7.650
2003-03-12,9.980
2003-03-12,10.560
2003-03-22,11.130
2003-03-22,11.080
2003-04-01,12.390
2003-04-01,9.790
2003-04-11,12.070
2003-04-13,10.860
2003-04-21,7.860
2003-04-21,10.090
2003-05-01,10.950
2003-05-01,8.560
2003-05-11,13.050
2003-05-11,9.950
2003-05-21,11.875
2003-05-31,10.620
2003-05-31,12.070
2003-06-10,9.940
2003-06-19,10.925
2003-06-29,8.690
2003-07-09,6.650
2003-07-19,12.560
2003-07-19,10.900
2003-07-29,9.130
2003-08-01,9.760
2003-08-08,11.620
2003-08-18,7.740
2003-08-18,9.900
2003-08-28,10.600
2003-08-28,10.620
2003-09-07,10.990
2003-09-07,11.800
2003-09-17,10.215
2003-09-27,11.890
2003-09-27,9.960
2003-10-06,13.080
2003-10-06,13.770
2003-10-16,11.820
2003-10-26,11.430
2003-10-26,12.480
2003-11-05,10.910
2003-11-14,9.450
2003-11-15,8.720
2003-11-29,7.350
2003-11-29,9.640
2003-12-03,11.040
2003-12-05,11.500
2003-12-15,13.100
2003-12-25,12.580
2003-12-25,8.940
2004-01-04,9.545
2004-01-14,10.780
2004-01-14,14.260
2004-01-23,12.355
2004-02-02,11.190
2004-02-02,11.970
2004-02-11,6.700
2004-02-12,10.810
2004-02-22,7.020
2004-02-24,11.670
2004-03-03,12.050
2004-03-13,10.525
2004-03-23,10.980
2004-03-23,12.020
2004-04-01,14.210
2004-04-02,14.840
2004-04-12,11.590
2004-04-22,14.770
2004-04-22,14.850
2004-05-02,9.950
2004-05-12,12.390
2004-05-22,13.800
2004-05-22,9.620
2004-06-01,13.210
2004-06-11,12.790
2004-06-21,11.030
2004-06-21,16.730
2004-06-30,14.930
2004-07-01,15.090
2004-07-10,15.170
2004-07-10,13.930
2004-07-20,11.740
2004-07-21,12.650
2004-07-30,8.520
2004-07-30,9.030
2004-08-09,10.410
2004-08-09,10.630
2004-08-19,13.090
2004-08-19,12.800
2004-08-29,12.770
2004-08-29,12.390
2004-09-08,11.910
2004-09-08,14.560
2004-09-18,14.610
2004-09-18,16.640
2004-09-28,11.175
2004-10-08,14.620
2004-10-08,13.340
2004-10-18,14.590
2004-10-18,12.570
2004-10-28,10.660
2004-10-28,13.010
2004-11-07,12.660
2004-11-17,13.020
2004-11-27,8.500
2004-11-27,8.550
2004-12-07,12.910
2004-12-15,13.750
2004-12-16,13.180
2004-12-26,16.030
2004-12-26,19.670
2005-01-05,9.860
2005-01-05,15.100
2005-01-15,12.390
2005-01-15,14.670
2005-01-25,15.870
2005-01-25,16.440
2005-02-04,15.490
2005-02-14,14.335
2005-02-24,11.500
2005-02-24,16.380
2005-03-06,15.230
2005-03-06,19.610
2005-03-16,18.190
2005-03-16,13.660
2005-03-25,12.960
2005-03-26,12.920
2005-04-04,12.810
2005-04-14,18.780
2005-04-14,14.370
2005-04-24,9.490
2005-04-24,15.690
2005-05-04,17.090
2005-05-04,14.290
2005-05-14,16.780
2005-05-24,16.090
2005-06-03,12.850
2005-06-03,16.300
2005-06-13,17.360
2005-06-13,13.680
2005-06-23,13.700
2005-06-23,17.670
2005-07-03,16.500
2005-07-03,13.750
2005-07-13,18.900
2005-07-13,15.970
2005-07-22,14.980
2005-07-22,16.390
2005-08-01,15.200
2005-08-01,16.530
2005-08-11,13.660
2005-08-11,14.400
2005-08-21,15.070
2005-08-31,17.120
2005-08-31,12.490
2005-09-10,18.055
2005-09-18,17.680
2005-09-20,17.240
2005-09-30,14.230
2005-10-02,17.030
2005-10-10,17.500
2005-10-20,16.320
2005-10-30,17.000
2005-11-08,20.070
2005-11-18,19.310
2005-11-28,17.970
2005-12-08,18.690
2005-12-18,19.900
2005-12-28,20.710
2006-01-07,19.030
2006-01-17,14.090
2006-01-27,17.130
2006-02-06,18.010
2006-02-16,16.780
2006-02-26,17.080
2006-03-07,17.980
2006-03-17,13.940
2006-03-27,17.690
2006-04-06,16.270
2006-04-16,16.300
2006-04-26,16.110
2006-05-06,16.710
2006-05-16,20.090
2006-05-26,20.020
2006-06-05,19.680
2006-06-14,18.730
2006-06-24,18.410
2006-07-04,19.990
2006-07-14,19.160
2006-07-24,18.800
2006-08-03,16.920
2006-08-13,14.670
2006-08-23,17.290
2006-09-02,19.960
2006-09-12,19.770
2006-09-22,20.400
2006-10-02,19.350
2006-10-11,20.580
2006-10-21,19.760
2006-10-28,19.310
2006-11-21,17.520
2006-11-30,16.640
2006-12-10,20.880
2006-12-20,19.630
2006-12-30,18.940
2007-01-09,16.260
2007-01-18,15.010
2007-01-28,17.930
2007-02-07,17.060
2007-02-17,15.900
2007-02-27,18.070
2007-03-09,16.450
2007-03-19,18.090
2007-03-29,18.930
2007-04-08,21.490
2007-04-18,21.420
2007-04-28,20.730
2007-05-07,15.220
2007-05-17,20.400
2007-05-27,21.520
2007-06-06,19.070
2007-06-16,15.490
2007-06-26,15.740
2007-07-06,16.290
2007-07-16,15.320
2007-07-26,15.320
2007-08-05,16.710
2007-08-15,19.930
2007-08-25,16.730
2007-09-03,15.210
2007-09-13,15.430
2007-09-23,20.700
2007-10-03,19.990
2007-10-13,17.970
2007-10-23,17.810
2007-11-02,15.320
2007-11-12,19.410
2007-11-22,24.060
2007-12-02,23.120
2007-12-11,20.910
2007-12-21,15.760
2007-12-31,18.080
2008-01-10,19.290
2008-01-20,22.420
2008-01-30,22.000
2008-02-09,20.120
2008-02-19,21.330
2008-02-29,18.060
2008-03-10,21.920
2008-03-20,22.240
2008-03-30,21.060
2008-04-09,19.810
2008-04-19,21.040
2008-04-29,20.740
2008-05-06,20.020
2008-05-18,25.410
2008-05-28,25.320
2008-06-07,23.050
2008-06-17,21.540
2008-06-27,23.360
2008-07-07,24.580
2008-07-17,24.570
2008-07-17,22.550
2008-07-27,22.165
2008-08-04,21.410
2008-08-06,20.070
2008-08-16,22.240
2008-08-26,20.980
2008-08-26,18.390
2008-09-05,21.000
2008-09-15,19.625
2008-09-25,21.475
2008-10-04,22.330
2008-10-14,22.100
2008-10-24,23.320
2008-11-03,21.350
2008-11-03,21.740
2008-11-13,24.420
2008-11-23,23.370
2008-12-03,27.130
2008-12-03,27.700
2008-12-13,22.570
2008-12-13,22.420
2008-12-23,21.280
2008-12-23,21.000
2009-01-02,23.005
2009-01-12,24.110
2009-01-12,23.670
2009-01-22,23.360
2009-02-01,22.290
2009-02-11,20.050
2009-02-16,20.200
2009-02-20,21.980
2009-02-25,23.470
2009-03-02,23.270
2009-03-07,26.780
2009-03-12,23.970
2009-03-17,27.540
2009-03-22,24.800
2009-03-27,26.690
2009-04-01,24.800
2009-04-06,25.770
2009-04-11,24.070
2009-04-16,23.500
2009-04-21,24.930
2009-04-26,25.910
2009-05-01,25.180
2009-05-06,28.110
2009-05-11,24.480
2009-05-16,23.990
2009-05-21,23.720
2009-05-26,24.520
2009-05-30,23.150
2009-06-04,23.680
2009-06-09,25.440
2009-06-14,27.530
2009-06-19,25.930
2009-06-24,25.510
2009-06-29,24.010
2009-07-04,25.100
2009-07-09,22.360
2009-07-14,24.770
2009-07-19,23.780
2009-07-24,27.610
2009-07-29,27.190
2009-08-03,27.030
2009-08-08,24.140
2009-08-13,24.880
2009-08-18,25.000
2009-08-23,24.300
2009-08-28,25.230
2009-09-02,26.880
2009-09-07,26.020
2009-09-11,29.160
2009-09-17,28.650
2009-09-26,23.740
2009-09-26,28.000
2009-10-01,29.560
2009-10-06,27.330
2009-10-11,28.290
2009-10-16,28.380
2009-10-21,27.460
2009-10-26,28.780
2009-10-31,30.010
2009-11-05,28.410
2009-11-10,26.530
2009-11-15,25.070
2009-11-20,27.230
2009-11-25,27.790
2009-11-30,28.230
2009-12-05,26.810
2009-12-10,27.590
2009-12-15,25.060
2009-12-20,28.320
2009-12-25,29.680
2009-12-30,28.440
2010-01-04,26.790
2010-01-08,29.650
2010-01-13,26.220
2010-01-18,26.900
2010-01-23,25.240
2010-01-28,22.510
2010-02-02,21.630
2010-02-07,24.450
2010-02-12,25.670
2010-02-17,28.710
2010-02-22,28.070
2010-02-27,31.560
2010-03-04,31.640
2010-03-09,30.750
2010-03-14,25.430
2010-03-19,26.090
2010-03-24,25.960
2010-03-29,26.820
2010-04-03,25.740
2010-04-07,25.890
2010-04-13,28.420
2010-04-18,31.420
2010-04-23,28.570
2010-04-27,28.830
2010-05-02,25.910
2010-05-07,27.720
2010-05-12,26.110
2010-05-17,28.900
2010-05-22,30.240
2010-05-27,27.220
2010-06-01,30.040
2010-06-06,28.070
2010-06-11,30.300
2010-06-16,30.090
2010-06-21,30.760
2010-06-26,28.540
2010-07-01,30.200
2010-07-06,26.990
2010-07-11,29.910
2010-07-16,28.620
2010-07-21,30.390
2010-07-25,29.070
2010-07-31,28.370
2010-08-05,28.520
2010-08-10,26.720
2010-08-15,31.240
2010-08-19,27.750
2010-08-24,27.550
2010-08-29,23.790
2010-09-03,25.830
2010-09-08,25.500
2010-09-13,25.740
2010-09-18,24.960
2010-09-23,25.310
2010-09-28,23.950
2010-10-03,23.990
2010-10-08,25.130
2010-10-13,25.970
2010-10-18,28.340
2010-10-23,29.410
2010-10-28,26.690
2010-11-02,29.220
2010-11-07,25.680
2010-11-12,26.710
2010-11-17,26.980
2010-11-22,22.450
2010-11-27,22.940
2010-12-01,21.410
2010-12-06,24.190
2010-12-11,24.300
2010-12-16,23.770
2010-12-21,26.150
2010-12-26,26.280
2010-12-31,26.570
2011-01-05,23.880
2011-01-10,23.380
2011-01-15,23.400
2011-01-20,23.210
2011-01-25,25.000
2011-01-30,25.600
2011-02-04,23.560
2011-02-09,23.510
2011-02-14,22.380
2011-02-19,24.430
2011-02-24,23.150
2011-03-01,24.860
2011-03-06,23.710
2011-03-11,24.010
2011-03-16,23.990
2011-03-20,22.930
2011-03-25,21.700
2011-03-30,23.560
2011-04-04,23.690
2011-04-09,18.610
2011-04-14,23.860
2011-04-19,22.740
2011-04-24,23.220
2011-04-29,22.040
2011-05-04,20.650
2011-05-09,22.140
2011-05-14,24.140
2011-05-19,21.710
2011-05-24,25.050
2011-05-29,24.220
2011-06-03,25.230
2011-06-08,24.950
2011-06-13,25.860
2011-06-18,25.740
2011-06-23,28.080
2011-06-28,25.770
2011-07-03,26.190
2011-07-08,24.080
2011-07-12,25.360
2011-07-17,22.170
2011-07-22,24.410
2011-07-27,24.440
2011-08-01,25.360
2011-08-06,26.100
2011-08-11,27.880
2011-08-16,25.100
2011-08-21,28.210
2011-08-26,29.100
2011-08-31,27.550
2011-09-05,26.980
2011-09-10,26.080
2011-09-15,22.910
2011-09-20,25.570
2011-09-25,26.120
2011-09-30,27.710
2011-10-05,27.850
2011-10-10,30.040
2011-10-15,29.670
2011-10-20,31.110
2011-10-25,25.770
2011-10-29,26.720
2011-11-03,25.840
2011-11-08,26.260
2011-11-13,21.990
2011-11-18,27.110
2011-11-23,26.990
2011-11-28,29.800
2011-12-03,27.680
2011-12-08,30.280
2011-12-13,28.720
2011-12-18,31.170
2011-12-23,31.080
2011-12-28,30.780
2012-01-02,28.600
2012-01-07,32.870
2012-01-12,29.410
2012-01-17,32.680
2012-01-22,31.320
2012-01-27,34.250
2012-02-01,31.660
2012-02-06,32.590
2012-02-10,31.840
2012-02-16,33.980
2012-02-16,30.910
2012-02-26,32.140
2012-03-02,28.650
2012-03-06,31.580
2012-03-16,32.740
2012-03-26,35.050
2012-04-05,32.840
2012-04-15,32.400
2012-04-25,32.760
2012-05-05,33.190
2012-05-13,36.270
2012-05-15,35.560
2012-05-24,33.920
2012-05-25,34.650
2012-06-04,36.090
2012-06-04,34.120
2012-06-14,37.710
2012-06-15,38.410
2012-06-22,35.780
2012-06-24,36.100
2012-06-30,37.040
2012-07-04,35.560
2012-07-11,37.720
2012-07-14,39.000
2012-07-21,40.430
2012-07-24,40.010
2012-08-01,37.980
2012-08-02,38.040
2012-08-09,40.490
2012-08-12,37.640
2012-08-16,36.110
2012-08-22,33.670
2012-08-27,35.550
2012-09-01,36.420
2012-09-07,35.990
2012-09-11,35.270
2012-09-18,37.630
2012-09-21,38.700
2012-09-26,36.180
2012-10-01,38.780
2012-10-03,38.870
2012-10-11,40.060
2012-10-14,37.900
2012-10-21,37.280
2012-10-25,36.060
2012-10-31,36.650
2012-11-01,36.810
2012-11-09,40.090
2012-11-10,38.550
2012-11-20,39.310
2012-11-20,38.740
2012-11-30,37.170
2012-12-01,36.920
2012-12-10,40.470
2012-12-12,37.720
2012-12-19,34.730
2012-12-20,37.660
2012-12-26,35.280
2012-12-30,38.580
2013-01-06,39.060
2013-01-08,38.760
2013-01-17,37.850
2013-01-18,38.840
2013-01-28,42.300
2013-01-28,41.000
2013-02-05,39.900
2013-02-07,40.210
2013-02-12,40.500
2013-02-17,37.780
2013-02-23,39.610
2013-02-27,39.720
2013-03-09,41.250
2013-03-19,40.100
2013-03-22,37.470
2013-03-24,38.830
2013-04-01,40.180
2013-04-11,36.840
2013-04-18,37.850
2013-04-22,34.270
2013-04-27,40.600
2013-04-30,35.150
2013-05-07,41.620
2013-05-07,40.920
2013-05-17,38.980
2013-05-18,41.400
2013-05-27,38.060
2013-05-29,39.820
2013-06-06,37.890
2013-06-09,35.730
2013-06-16,36.660
2013-06-16,31.880
2013-06-26,38.210
2013-07-06,37.040
2013-07-16,36.830
2013-07-26,38.110
2013-08-05,37.920
2013-08-14,33.700
2013-08-24,33.630
2013-09-02,37.380
2013-09-16,33.160
2013-09-23,35.030
2013-10-03,36.250
2013-10-13,36.790
2013-10-23,39.770
2013-11-02,41.100
2013-11-12,39.250
2013-11-22,38.180
2013-12-01,37.340
2013-12-11,35.060
2013-12-21,37.070
2013-12-31,38.590
2014-01-10,38.450
2014-01-20,38.610
2014-01-30,36.650
2014-02-09,38.930
2014-02-19,41.480
2014-03-01,41.290
2014-03-11,41.510
2014-03-20,40.450
2014-03-30,40.050
2014-04-09,40.620
2014-04-19,40.790
2014-04-29,38.540
2014-05-09,38.150
2014-05-19,38.200
2014-05-29,39.260
2014-06-08,38.470
2014-06-18,40.600
2014-06-28,42.120
2014-07-07,42.810
2014-07-17,42.260
2014-07-27,39.410
2014-08-06,41.190
2014-08-16,42.860
2014-08-26,43.180
2014-09-05,42.560
2014-09-15,42.360
2014-09-25,39.460
2014-10-05,41.540
2014-10-15,44.730
2014-10-24,44.270
2014-11-03,41.750
2014-11-13,41.750
2014-11-23,38.330
2014-12-03,39.720
2014-12-13,47.960
2014-12-23,45.520
2015-01-02,41.780
2015-01-12,45.030
2015-01-22,44.880
2015-02-01,46.990
2015-02-10,47.350
2015-02-20,49.570
2015-03-02,48.670
2015-03-12,47.270
2015-03-22,46.800
2015-04-01,48.200
2015-04-11,49.370
2015-04-21,48.630
2015-05-01,48.070
2015-05-11,46.980
2015-05-21,45.220
2015-05-30,47.550
2015-06-09,48.740
2015-06-19,49.340
2015-06-29,50.310
2015-07-09,48.960
2015-07-19,49.180
2015-07-29,49.110
2015-08-08,50.960
2015-08-18,49.510
2015-08-28,53.150
2015-09-07,53.430
2015-09-16,51.760
2015-09-26,53.410
2015-10-06,54.030
2015-10-16,54.480
2015-10-26,56.480
2015-11-05,53.010
2015-11-15,49.560
2015-11-25,52.480
2015-12-05,53.300
2015-12-15,52.250
2015-12-25,51.670
2016-01-03,47.970
2016-01-13,51.410
2016-01-23,55.640
2016-02-02,52.220
2016-02-12,55.160
2016-02-14,54.340
2016-02-22,54.395
2016-03-03,54.840
2016-03-12,53.170
2016-03-13,52.530
2016-03-23,56.655
2016-04-01,53.830
2016-04-02,54.650
2016-04-12,53.110
2016-04-12,54.100
2016-04-22,52.560
2016-05-02,52.110
2016-05-02,52.590
2016-05-12,52.565
2016-05-22,51.820
2016-05-31,54.280
2016-06-10,53.940
2016-06-20,56.015
2016-06-30,53.110
2016-06-30,54.930
2016-07-10,52.320
2016-07-10,54.240
2016-07-20,53.030
2016-07-30,49.990
2016-07-30,50.930
2016-08-09,49.850
2016-08-19,48.755
2016-08-29,52.320
2016-09-08,53.515
2016-09-18,52.700
2016-09-28,50.645
2016-10-08,49.540
2016-10-16,48.590
2016-10-18,52.000
2016-10-23,52.370
2016-10-28,52.160
2016-11-02,51.990
2016-11-06,53.950
2016-11-11,53.040
2016-11-16,55.230
2016-11-21,54.580
2016-11-26,58.580
2016-12-01,55.040
2016-12-06,54.850
2016-12-11,54.150
2016-12-16,53.250
2016-12-21,53.660
2016-12-26,52.200
2016-12-31,51.280
2017-01-05,51.790
2017-01-10,53.640
2017-01-15,53.710
2017-01-20,53.800
2017-01-25,53.210
2017-01-30,52.340
2017-02-04,50.950
2017-02-09,49.630
2017-02-14,50.990
2017-02-19,51.870
2017-02-24,51.340
2017-03-01,51.090
2017-03-06,52.930
2017-03-10,53.310
2017-03-15,53.370
2017-03-16,54.700
2017-03-25,54.410
2017-04-02,55.020
2017-04-04,55.490
2017-04-09,53.920
2017-04-14,53.340
2017-04-19,55.590
2017-04-24,53.490
2017-04-29,53.840
2017-05-04,53.230
2017-05-09,53.250
2017-05-14,53.050
2017-05-16,52.370
2017-05-24,50.030
2017-06-03,52.720
2017-06-13,52.660
2017-06-23,52.720
2017-07-02,53.740
2017-07-12,53.890
2017-07-22,53.680
2017-08-01,56.800
2017-08-11,54.110
2017-08-21,53.460
2017-08-31,54.250
2017-09-10,55.650
2017-09-20,56.070
2017-09-30,52.830
2017-10-10,52.790
2017-10-19,54.410
2017-10-29,55.750
2017-11-08,57.300
2017-11-18,57.050
2017-11-28,57.950
2017-12-08,57.020
2017-12-18,57.090
2017-12-28,54.150
2018-01-07,54.620
2018-01-17,55.830
2018-01-27,56.910
2018-02-05,57.520
2018-02-15,53.330
2018-02-25,52.050
2018-03-07,55.610
2018-03-17,56.130
2018-03-27,55.060
2018-04-06,53.230
2018-04-16,54.480
2018-04-26,54.730
2018-05-06,55.470
2018-05-16,55.490
2018-05-25,54.450
2018-06-04,55.820
2018-06-14,55.440
2018-06-24,55.060
2018-07-04,55.640
2018-07-14,57.750
2018-07-24,57.490
2018-08-03,56.170
2018-08-13,56.550
2018-08-23,55.880
2018-09-02,56.260
2018-09-11,58.770
