 ERSST AMO (North Atlantic 0-60N SSTA) Index:
Year  month      SSTA
1973      5     -0.13
1973      6     -0.07
1973      7     -0.04
1973      8     -0.14
1973      9     -0.09
1973     10     -0.13
1973     11     -0.15
1973     12     -0.16
1974      1     -0.14
1974      2     -0.20
1974      3     -0.36
1974      4     -0.55
1974      5     -0.59
1974      6     -0.56
1974      7     -0.59
1974      8     -0.56
1974      9     -0.57
1974     10     -0.51
1974     11     -0.37
1974     12     -0.28
1975      1     -0.10
1975      2     -0.13
1975      3     -0.18
1975      4     -0.27
1975      5     -0.34
1975      6     -0.26
1975      7     -0.14
1975      8     -0.08
1975      9     -0.25
1975     10     -0.28
1975     11     -0.19
1975     12     -0.22
1976      1     -0.24
1976      2     -0.37
1976      3     -0.38
1976      4     -0.30
1976      5     -0.43
1976      6     -0.42
1976      7     -0.24
1976      8     -0.06
1976      9     -0.18
1976     10     -0.17
1976     11     -0.34
1976     12     -0.36
1977      1     -0.29
1977      2     -0.23
1977      3     -0.06
1977      4     -0.08
1977      5     -0.13
1977      6     -0.05
1977      7     -0.04
1977      8     -0.16
1977      9     -0.17
1977     10     -0.12
1977     11     -0.04
1977     12     -0.10
1978      1     -0.01
1978      2     -0.01
1978      3     -0.04
1978      4     -0.05
1978      5     -0.15
1978      6     -0.19
1978      7     -0.27
1978      8     -0.20
1978      9     -0.12
1978     10     -0.07
1978     11      0.11
1978     12      0.01
1979      1     -0.03
1979      2     -0.05
1979      3     -0.15
1979      4     -0.07
1979      5      0.02
1979      6      0.09
1979      7     -0.02
1979      8     -0.11
1979      9     -0.03
1979     10      0.07
1979     11      0.10
1979     12      0.14
1980      1      0.17
1980      2      0.12
1980      3      0.00
1980      4      0.20
1980      5      0.32
1980      6      0.16
1980      7      0.06
1980      8      0.01
1980      9      0.03
1980     10      0.06
1980     11     -0.08
1980     12     -0.10
1981      1      0.02
1981      2      0.00
1981      3      0.18
1981      4      0.08
1981      5      0.11
1981      6      0.11
1981      7      0.02
1981      8     -0.04
1981      9      0.05
1981     10     -0.09
1981     11      0.09
1981     12      0.24
1982      1      0.06
1982      2      0.00
1982      3      0.09
1982      4     -0.05
1982      5     -0.09
1982      6     -0.15
1982      7     -0.20
1982      8     -0.30
1982      9     -0.22
1982     10     -0.23
1982     11     -0.26
1982     12     -0.17
1983      1     -0.03
1983      2      0.10
1983      3      0.24
1983      4      0.17
1983      5      0.05
1983      6      0.05
1983      7      0.08
1983      8      0.03
1983      9     -0.02
1983     10      0.03
1983     11      0.09
1983     12      0.17
1984      1      0.09
1984      2      0.07
1984      3     -0.04
1984      4     -0.04
1984      5     -0.03
1984      6     -0.32
1984      7     -0.26
1984      8     -0.10
1984      9     -0.10
1984     10     -0.19
1984     11     -0.25
1984     12     -0.16
1985      1     -0.22
1985      2     -0.26
1985      3     -0.24
1985      4     -0.33
1985      5     -0.29
1985      6     -0.07
1985      7     -0.07
1985      8     -0.24
1985      9     -0.19
1985     10     -0.13
1985     11     -0.16
1985     12     -0.18
1986      1     -0.26
1986      2     -0.25
1986      3     -0.29
1986      4     -0.31
1986      5     -0.19
1986      6     -0.21
1986      7     -0.19
1986      8     -0.30
1986      9     -0.28
1986     10     -0.23
1986     11     -0.26
1986     12     -0.22
1987      1     -0.09
1987      2     -0.09
1987      3      0.05
1987      4      0.16
1987      5      0.20
1987      6      0.32
1987      7      0.42
1987      8      0.46
1987      9      0.33
1987     10      0.19
1987     11      0.13
1987     12      0.22
1988      1      0.05
1988      2     -0.01
1988      3      0.07
1988      4      0.17
1988      5      0.23
1988      6      0.29
1988      7      0.26
1988      8      0.09
1988      9     -0.03
1988     10     -0.02
1988     11      0.06
1988     12     -0.01
1989      1      0.01
1989      2      0.10
1989      3     -0.07
1989      4     -0.16
1989      5     -0.01
1989      6      0.26
1989      7      0.40
1989      8      0.30
1989      9      0.09
1989     10      0.03
1989     11      0.04
1989     12     -0.00
1990      1     -0.08
1990      2      0.02
1990      3      0.06
1990      4      0.10
1990      5      0.08
1990      6      0.05
1990      7      0.05
1990      8      0.18
1990      9      0.33
1990     10      0.33
1990     11      0.13
1990     12      0.08
1991      1      0.01
1991      2      0.04
1991      3      0.01
1991      4     -0.05
1991      5     -0.12
1991      6     -0.06
1991      7     -0.09
1991      8     -0.02
1991      9      0.06
1991     10     -0.13
1991     11     -0.14
1991     12     -0.06
1992      1     -0.01
1992      2      0.04
1992      3     -0.00
1992      4     -0.08
1992      5     -0.18
1992      6     -0.10
1992      7     -0.24
1992      8     -0.38
1992      9     -0.33
1992     10     -0.26
1992     11     -0.28
1992     12     -0.10
1993      1      0.00
1993      2     -0.04
1993      3     -0.16
1993      4     -0.04
1993      5     -0.08
1993      6     -0.19
1993      7     -0.32
1993      8     -0.14
1993      9     -0.09
1993     10     -0.16
1993     11     -0.17
1993     12     -0.15
1994      1     -0.20
1994      2     -0.22
1994      3     -0.17
1994      4     -0.03
1994      5     -0.12
1994      6     -0.13
1994      7     -0.17
1994      8     -0.22
1994      9     -0.18
1994     10      0.04
1994     11      0.18
1994     12      0.13
1995      1      0.19
1995      2      0.17
1995      3      0.20
1995      4      0.27
1995      5      0.40
1995      6      0.45
1995      7      0.45
1995      8      0.39
1995      9      0.19
1995     10      0.28
1995     11      0.27
1995     12      0.19
1996      1      0.13
1996      2      0.06
1996      3     -0.04
1996      4      0.11
1996      5     -0.00
1996      6     -0.03
1996      7     -0.08
1996      8      0.09
1996      9      0.10
1996     10     -0.03
1996     11     -0.04
1996     12     -0.03
1997      1      0.13
1997      2      0.20
1997      3      0.18
1997      4      0.12
1997      5      0.13
1997      6      0.05
1997      7      0.18
1997      8      0.13
1997      9      0.23
1997     10      0.36
1997     11      0.23
1997     12      0.24
1998      1      0.30
1998      2      0.38
1998      3      0.37
1998      4      0.36
1998      5      0.43
1998      6      0.65
1998      7      0.57
1998      8      0.70
1998      9      0.45
1998     10      0.48
1998     11      0.49
1998     12      0.47
1999      1      0.23
1999      2      0.18
1999      3      0.18
1999      4      0.29
1999      5      0.45
1999      6      0.41
1999      7      0.37
1999      8      0.52
1999      9      0.45
1999     10      0.25
1999     11      0.12
1999     12      0.25
2000      1      0.11
2000      2      0.17
2000      3      0.36
2000      4      0.25
2000      5      0.32
2000      6      0.14
2000      7      0.20
2000      8      0.22
2000      9      0.25
2000     10      0.20
2000     11      0.23
2000     12      0.07
2001      1      0.08
2001      2      0.23
2001      3      0.25
2001      4      0.15
2001      5      0.16
2001      6      0.32
2001      7      0.30
2001      8      0.45
2001      9      0.52
2001     10      0.47
2001     11      0.40
2001     12      0.51
2002      1      0.58
2002      2      0.44
2002      3      0.43
2002      4      0.30
2002      5      0.09
2002      6      0.01
2002      7     -0.02
2002      8      0.22
2002      9      0.26
2002     10      0.35
2002     11      0.31
2002     12      0.21
2003      1      0.25
2003      2      0.19
2003      3      0.31
2003      4      0.22
2003      5      0.27
2003      6      0.26
2003      7      0.42
2003      8      0.62
2003      9      0.66
2003     10      0.79
2003     11      0.51
2003     12      0.53
2004      1      0.51
2004      2      0.46
2004      3      0.39
2004      4      0.36
2004      5      0.17
2004      6      0.30
2004      7      0.37
2004      8      0.46
2004      9      0.44
2004     10      0.56
2004     11      0.52
2004     12      0.51
2005      1      0.48
2005      2      0.31
2005      3      0.47
2005      4      0.61
2005      5      0.54
2005      6      0.59
2005      7      0.74
2005      8      0.74
2005      9      0.73
2005     10      0.63
2005     11      0.52
2005     12      0.51
2006      1      0.48
2006      2      0.35
2006      3      0.27
2006      4      0.46
2006      5      0.52
2006      6      0.59
2006      7      0.63
2006      8      0.69
2006      9      0.63
2006     10      0.67
2006     11      0.66
2006     12      0.50
2007      1      0.60
2007      2      0.52
2007      3      0.42
2007      4      0.39
2007      5      0.35
2007      6      0.28
2007      7      0.26
2007      8      0.19
2007      9      0.39
2007     10      0.56
2007     11      0.54
2007     12      0.45
2008      1      0.43
2008      2      0.52
2008      3      0.49
2008      4      0.30
2008      5      0.44
2008      6      0.59
2008      7      0.51
2008      8      0.49
2008      9      0.48
2008     10      0.50
2008     11      0.40
2008     12      0.33
2009      1      0.24
2009      2      0.00
2009      3      0.03
2009      4      0.09
2009      5      0.11
2009      6      0.36
2009      7      0.46
2009      8      0.40
2009      9      0.36
2009     10      0.56
2009     11      0.46
2009     12      0.49
2010      1      0.39
2010      2      0.43
2010      3      0.52
2010      4      0.70
2010      5      0.75
2010      6      0.88
2010      7      0.83
2010      8      0.91
2010      9      0.67
2010     10      0.60
2010     11      0.63
2010     12      0.43
2011      1      0.42
2011      2      0.36
2011      3      0.30
2011      4      0.40
2011      5      0.41
2011      6      0.50
2011      7      0.38
2011      8      0.44
2011      9      0.43
2011     10      0.49
2011     11      0.33
2011     12      0.33
2012      1      0.38
2012      2      0.34
2012      3      0.37
2012      4      0.41
2012      5      0.47
2012      6      0.58
2012      7      0.64
2012      8      0.74
2012      9      0.81
2012     10      0.76
2012     11      0.56
2012     12      0.55
2013      1      0.54
2013      2      0.44
2013      3      0.44
2013      4      0.37
2013      5      0.37
2013      6      0.33
2013      7      0.53
2013      8      0.50
2013      9      0.61
2013     10      0.78
2013     11      0.57
2013     12      0.40
2014      1      0.33
2014      2      0.27
2014      3      0.20
2014      4      0.20
2014      5      0.20
2014      6      0.29
2014      7      0.48
2014      8      0.59
2014      9      0.60
2014     10      0.72
2014     11      0.50
2014     12      0.49
2015      1      0.41
2015      2      0.31
2015      3      0.26
2015      4      0.29
2015      5      0.41
2015      6      0.40
2015      7      0.39
2015      8      0.48
2015      9      0.71
2015     10      0.72
2015     11      0.63
2015     12      0.60
2016      1      0.72
2016      2      0.64
2016      3      0.61
2016      4      0.53
2016      5      0.63
2016      6      0.66
2016      7      0.68
2016      8      0.78
2016      9      0.78
2016     10      0.77
2016     11      0.76
2016     12      0.72
2017      1      0.74
2017      2      0.69
2017      3      0.57
2017      4      0.69
2017      5      0.62
2017      6      0.67
2017      7      0.75
2017      8      0.75
2017      9      0.77
2017     10      0.88
2017     11      0.91
2017     12      0.88
2018      1      0.68
2018      2      0.49
2018      3      0.41
2018      4      0.37
2018      5      0.33
2018      6      0.25
2018      7      0.39
2018      8      0.54
2018      9      0.61
2018     10      0.56
2018     11      0.38
2018     12      0.37
2019      1      0.46
2019      2      0.50
2019      3      0.46
2019      4      0.40
2019      5      0.37
2019      6      0.58
2019      7      0.66
2019      8      0.74
2019      9      0.69
2019     10      0.66
2019     11      0.63
2019     12      0.59
2020      1      0.72
2020      2      0.85
2020      3      0.83
2020      4      0.86
2020      5      0.65
2020      6      0.71
2020      7      0.84
2020      8      0.87
2020      9      0.71
2020     10      0.74
2020     11      0.66
2020     12      0.63
2021      1      0.62
2021      2      0.58
2021      3      0.47
2021      4      0.61
2021      5      0.58
2021      6      0.58
2021      7      0.63
2021      8      0.69
2021      9      0.83
2021     10      0.96
2021     11      0.92
2021     12      0.82
2022      1      0.84
2022      2      0.78
2022      3      0.53
2022      4      0.46
2022      5      0.64
2022      6      0.57
2022      7      0.54
2022      8      0.88
2022      9      0.98
2022     10      0.93
2022     11      0.83
2022     12      0.70
2023      1      0.76
2023      2      0.74
2023      3      0.87
2023      4      0.94
2023      5      1.07
2023      6      1.27
2023      7      1.44
2023      8      1.36
2023      9      1.42
2023     10      1.38
2023     11      1.13
2023     12      1.02
2024      1      1.06
