TMAX       300017 19700101 20201231 missing_value=99999.9 CASEY                                     
19951001 19951031   -10.0
19951101 19951130    -2.0
19951201 19951231     0.1
19960101 19960131     1.5
19960201 19960229    -0.3
19960301 19960331    -2.9
19960401 19960430    -5.0
19960501 19960531   -12.4
19960601 19960630   -10.9
19960701 19960731    -7.2
19960801 19960831    -7.5
19960901 19960930    -8.6
19961001 19961031    -7.7
19961101 19961130    -1.6
19961201 19961231     1.8
19970101 19970131     2.4
19970201 19970228     0.1
19970301 19970331    -5.0
19970401 19970430    -8.2
19970501 19970531   -12.6
19970601 19970630    -6.1
19970701 19970731   -12.9
19970801 19970831   -13.2
19970901 19970930   -11.3
19971001 19971031    -9.5
19971101 19971130    -1.3
19971201 19971231     2.1
19980101 19980131     2.0
19980201 19980228    -0.1
19980301 19980331    -5.8
19980401 19980430    -9.4
19980501 19980531    -7.2
19980601 19980630   -11.0
19980701 19980731   -13.0
19980801 19980831    -9.6
19980901 19980930   -13.3
19981001 19981031    -8.4
19981101 19981130    -2.1
19981201 19981231     1.8
19990101 19990131     0.8
19990201 19990228    -0.5
19990301 19990331    -5.6
19990401 19990430   -14.9
19990501 19990531   -13.7
19990601 19990630   -10.5
19990701 19990731   -14.4
19990801 19990831   -11.1
19990901 19990930   -11.7
19991001 19991031    -8.0
19991101 19991130    -3.4
19991201 19991231    -0.1
20000101 20000131     0.6
20000201 20000229    -0.2
20000301 20000331    -5.1
20000401 20000430   -11.9
20000501 20000531   -12.0
20000601 20000630   -11.8
20000701 20000731    -9.0
20000801 20000831    -8.3
20000901 20000930    -5.5
20001001 20001031    -9.2
20001101 20001130    -0.9
20001201 20001231     1.3
20010101 20010131     2.1
20010201 20010228    -1.4
20010301 20010331    -2.2
20010401 20010430    -7.1
20010501 20010531    -8.1
20010601 20010630   -10.6
20010701 20010731    -6.8
20010801 20010831   -12.5
20010901 20010930    -7.9
20011001 20011031    -8.5
20011101 20011130    -3.4
20011201 20011231     0.9
20020101 20020131     2.6
20020201 20020228    -0.8
20020301 20020331    -3.4
20020401 20020430    -5.1
20020501 20020531    -7.3
20020601 20020630    -7.4
20020701 20020731    -8.8
20020801 20020831   -10.8
20020901 20020930   -10.3
20021001 20021031    -8.3
20021101 20021130    -1.3
20021201 20021231     0.2
20030101 20030131     2.7
20030201 20030228     0.5
20030301 20030331    -3.9
20030401 20030430    -7.1
20030501 20030531   -12.7
20030601 20030630   -13.6
20030701 20030731   -11.5
20030801 20030831   -10.0
20030901 20030930    -9.9
20031001 20031031    -8.1
20031101 20031130    -3.3
20031201 20031231     1.6
20040101 20040131     1.9
20040201 20040229     1.3
20040301 20040331    -4.7
20040401 20040430    -7.4
20040501 20040531    -9.9
20040601 20040630   -10.5
20040701 20040731   -11.8
20040801 20040831    -8.5
