TMAX       200284 19600101 20201231 missing_value=99999.9 COCOS ISLAND AIRPORT                      
20061001 20061031    28.6
20061101 20061130    29.4
20061201 20061231    29.7
20070101 20070131    29.8
20070201 20070228    30.6
20070301 20070331    30.2
20070401 20070430    29.5
20070501 20070531    29.4
20070601 20070630    28.7
20070701 20070731    28.4
20070801 20070831    28.7
20070901 20070930    28.6
20071001 20071031    28.9
20071101 20071130    29.0
20071201 20071231    29.6
20080101 20080131    30.7
20080201 20080229    30.3
20080301 20080331    29.8
20080401 20080430    29.6
20080501 20080531    28.9
20080601 20080630    28.5
20080701 20080731    28.3
20080801 20080831    28.2
20080901 20080930    28.3
20081001 20081031    28.7
20081101 20081130    28.9
20081201 20081231    29.1
20090101 20090131    30.4
20090201 20090228    30.8
20090301 20090331    30.2
20090401 20090430    30.0
20090501 20090531    29.2
20090601 20090630    28.8
20090701 20090731    28.7
20090801 20090831    28.5
20090901 20090930    27.8
20091001 20091031    28.6
20091101 20091130    29.7
20091201 20091231    29.8
20100101 20100131    30.1
20100201 20100228    30.1
20100301 20100331    30.5
20100401 20100430    30.4
20100501 20100531    29.3
20100601 20100630    28.9
20100701 20100731    28.3
20100801 20100831    28.8
20100901 20100930    28.8
20101001 20101031    28.7
20101101 20101130    29.4
20101201 20101231    29.8
20110101 20110131    29.7
20110201 20110228    30.0
20110301 20110331    30.2
20110401 20110430    29.6
20110501 20110531    29.1
20110601 20110630    28.9
20110701 20110731    28.1
20110801 20110831    28.4
20110901 20110930    28.3
20111001 20111031    28.9
20111101 20111130    29.7
20111201 20111231    29.7
20120101 20120131    30.2
20120201 20120229    30.3
20120301 20120331    30.2
20120401 20120430    30.1
20120501 20120531    29.8
20120601 20120630    29.0
20120701 20120731    28.7
20120801 20120831    28.4
20120901 20120930    28.3
20121001 20121031    28.9
20121101 20121130    29.5
20121201 20121231    29.3
20130101 20130131    30.4
20130201 20130228    30.4
20130301 20130331    30.1
20130401 20130430    30.5
20130501 20130531    29.6
20130601 20130630    28.5
20130701 20130731    27.7
20130801 20130831    28.1
20130901 20130930    28.2
20131001 20131031    28.9
20131101 20131130    29.9
20131201 20131231    29.6
20140101 20140131    29.9
20140201 20140228    31.0
20140301 20140331    30.8
20140401 20140430    30.9
20140501 20140531    29.9
20140601 20140630    29.3
20140701 20140731    28.1
20140801 20140831    28.4
20140901 20140930    28.7
20141001 20141031    28.7
20141101 20141130    28.9
20141201 20141231    29.8
20150101 20150131    30.3
20150201 20150228    30.6
20150301 20150331    30.7
20150401 20150430    30.8
20150501 20150531    29.6
20150601 20150630    29.0
20150701 20150731    28.6
20150801 20150831    28.1
20150901 20150930    28.6
20151001 20151031    29.4
20151101 20151130    29.8
20151201 20151231    30.3
20160101 20160131    31.0
20160201 20160229    30.6
20160301 20160331    30.8
20160401 20160430    30.8
20160501 20160531    29.6
20160601 20160630    29.4
20160701 20160731    28.5
20160801 20160831    28.1
20160901 20160930    28.4
20161001 20161031    29.3
20161101 20161130    29.2
20161201 20161231    29.3
20170101 20170131    30.1
20170201 20170228    30.7
20170301 20170331    29.9
20170401 20170430    29.6
20170501 20170531    29.5
20170601 20170630    28.4
20170701 20170731    27.9
20170801 20170831    27.8
20170901 20170930    28.4
20171001 20171031    28.3
20171101 20171130    29.3
20171201 20171231    29.5
20180101 20180131    29.6
20180201 20180228    30.3
20180301 20180331    30.1
20180401 20180430    29.9
20180501 20180531    29.8
20180601 20180630    29.4
20180701 20180731    28.6
20180801 20180831    27.5
20180901 20180930    27.9
20181001 20181031    29.1
20181101 20181130    29.1
20181201 20181231    28.9
20190101 20190131    30.5
20190201 20190228    30.6
20190301 20190331    30.6
20190401 20190430    30.3
20190501 20190531    30.0
20190601 20190630    29.2
20190701 20190731    28.4
20190801 20190831    27.4
20190901 20190930    28.3
20191001 20191031    28.7
20191101 20191130    29.1
20191201 20191231    30.5
20200101 20200131    30.9
20200201 20200229    30.5
20200301 20200331    30.6
20200401 20200430    31.5
20200501 20200531    29.5
20200601 20200630    28.7
20200701 20200731    28.6
20200801 20200831    28.7
20200901 20200930    28.9
20201001 20201031    28.8
20201101 20201130    29.3
20201201 20201231    29.2
