Max_min: Daily
Station	Date(NZST)	Tmax(C)	Per(Hrs)	Tmin(C)	Per(Hrs)	Tgmin(C)	Per(Hrs)	Tmean(C)	RHmean(%)	Per(Hrs)	Freq
6169	19400527:0900	19.7	24	14.2	24	11.9	24	-	-	-	D
6169	19400528:0900	19.6	24	15.6	24	15.2	24	-	-	-	D
6169	19400529:0900	19.2	24	13.9	24	13.9	24	-	-	-	D
6169	19400530:0900	18.6	24	12.0	24	9.3	24	-	-	-	D
6169	19400531:0900	17.8	24	11.9	24	8.9	24	-	-	-	D
6169	19400601:0900	17.6	24	10.4	24	8.3	24	-	-	-	D
6169	19400602:0900	18.4	24	12.1	24	8.9	24	-	-	-	D
6169	19400603:0900	19.1	24	11.3	24	8.9	24	-	-	-	D
6169	19400604:0900	19.4	24	12.6	24	9.9	24	-	-	-	D
6169	19400605:0900	20.0	24	15.0	24	12.8	24	-	-	-	D
6169	19400606:0900	18.7	24	13.6	24	11.4	24	-	-	-	D
6169	19400607:0900	17.8	24	11.7	24	8.9	24	-	-	-	D
6169	19400608:0900	18.8	24	11.7	24	8.9	24	-	-	-	D
6169	19400609:0900	19.1	24	12.2	24	9.4	24	-	-	-	D
6169	19400610:0900	18.9	24	17.2	24	15.6	24	-	-	-	D
6169	19400611:0900	19.8	24	14.4	24	12.2	24	-	-	-	D
6169	19400612:0900	18.3	24	12.6	24	10.6	24	-	-	-	D
6169	19400613:0900	18.9	24	14.1	24	12.2	24	-	-	-	D
6169	19400614:0900	18.7	24	12.2	24	10.0	24	-	-	-	D
6169	19400615:0900	17.9	24	11.3	24	8.6	24	-	-	-	D
6169	19400616:0900	17.3	24	11.1	24	8.3	24	-	-	-	D
6169	19400617:0900	18.8	24	13.4	24	8.3	24	-	-	-	D
6169	19400618:0900	18.2	24	14.7	24	12.2	24	-	-	-	D
6169	19400619:0900	18.1	24	13.7	24	12.0	24	-	-	-	D
6169	19400620:0900	18.2	24	14.4	24	11.7	24	-	-	-	D
6169	19400621:0900	18.2	24	12.6	24	9.9	24	-	-	-	D
6169	19400622:0900	17.8	24	13.7	24	11.6	24	-	-	-	D
6169	19400623:0900	17.5	24	13.2	24	11.3	24	-	-	-	D
6169	19400624:0900	18.6	24	14.7	24	14.4	24	-	-	-	D
6169	19400625:0900	19.9	24	14.1	24	13.8	24	-	-	-	D
6169	19400626:0900	18.1	24	12.3	24	10.0	24	-	-	-	D
6169	19400627:0900	16.6	24	12.8	24	10.1	24	-	-	-	D
6169	19400628:0900	17.3	24	11.9	24	9.4	24	-	-	-	D
6169	19400629:0900	16.7	24	10.7	24	8.3	24	-	-	-	D
6169	19400630:0900	17.2	24	10.6	24	7.4	24	-	-	-	D
6169	19400701:0900	17.6	24	10.8	24	9.1	24	-	-	-	D
6169	19400702:0900	17.1	24	12.0	24	9.0	24	-	-	-	D
6169	19400703:0900	16.7	24	11.9	24	10.0	24	-	-	-	D
6169	19400704:0900	16.9	24	11.6	24	8.9	24	-	-	-	D
6169	19400705:0900	18.1	24	12.9	24	10.6	24	-	-	-	D
6169	19400706:0900	17.8	24	12.0	24	9.3	24	-	-	-	D
6169	19400707:0900	17.0	24	12.8	24	8.1	24	-	-	-	D
6169	19400708:0900	16.8	24	12.2	24	10.3	24	-	-	-	D
6169	19400709:0900	16.3	24	10.6	24	7.8	24	-	-	-	D
6169	19400710:0900	16.2	24	9.9	24	9.7	24	-	-	-	D
6169	19400711:0900	16.1	24	9.8	24	7.2	24	-	-	-	D
6169	19400712:0900	17.2	24	11.1	24	8.8	24	-	-	-	D
6169	19400713:0900	17.2	24	13.4	24	12.8	24	-	-	-	D
6169	19400714:0900	17.8	24	11.8	24	8.3	24	-	-	-	D
6169	19400715:0900	17.8	24	12.4	24	9.2	24	-	-	-	D
6169	19400716:0900	17.9	24	10.9	24	8.0	24	-	-	-	D
6169	19400717:0900	17.7	24	12.1	24	10.0	24	-	-	-	D
6169	19400718:0900	17.6	24	14.8	24	12.2	24	-	-	-	D
6169	19400719:0900	19.0	24	12.8	24	10.9	24	-	-	-	D
6169	19400720:0900	16.1	24	12.2	24	11.4	24	-	-	-	D
6169	19400721:0900	17.1	24	12.8	24	10.7	24	-	-	-	D
6169	19400722:0900	18.1	24	13.3	24	9.6	24	-	-	-	D
6169	19400723:0900	17.3	24	12.7	24	9.3	24	-	-	-	D
6169	19400724:0900	17.6	24	14.7	24	12.8	24	-	-	-	D
6169	19400725:0900	17.9	24	13.1	24	14.4	24	-	-	-	D
6169	19400726:0900	20.1	24	15.6	24	14.3	24	-	-	-	D
6169	19400727:0900	19.4	24	16.3	24	13.7	24	-	-	-	D
6169	19400728:0900	19.7	24	14.6	24	11.8	24	-	-	-	D
6169	19400729:0900	17.4	24	14.0	24	12.2	24	-	-	-	D
6169	19400730:0900	16.1	24	12.9	24	11.6	24	-	-	-	D
6169	19400731:0900	18.3	24	13.9	24	12.1	24	-	-	-	D
6169	19400801:0900	17.7	24	14.1	24	13.6	24	-	-	-	D
6169	19400802:0900	17.9	24	13.7	24	11.9	24	-	-	-	D
6169	19400803:0900	16.9	24	13.2	24	10.3	24	-	-	-	D
6169	19400804:0900	16.6	24	12.9	24	8.8	24	-	-	-	D
6169	19400805:0900	16.6	24	12.5	24	9.9	24	-	-	-	D
6169	19400806:0900	16.9	24	11.3	24	7.5	24	-	-	-	D
6169	19400807:0900	17.4	24	13.4	24	10.6	24	-	-	-	D
6169	19400808:0900	17.6	24	13.9	24	11.7	24	-	-	-	D
6169	19400809:0900	17.6	24	14.4	24	12.7	24	-	-	-	D
6169	19400810:0900	17.7	24	14.4	24	13.3	24	-	-	-	D
6169	19400811:0900	16.8	24	14.0	24	13.3	24	-	-	-	D
6169	19400812:0900	17.4	24	14.3	24	14.0	24	-	-	-	D
6169	19400813:0900	19.4	24	13.5	24	11.0	24	-	-	-	D
6169	19400814:0900	18.9	24	14.4	24	12.4	24	-	-	-	D
6169	19400815:0900	17.8	24	14.5	24	12.2	24	-	-	-	D
6169	19400816:0900	18.9	24	12.6	24	11.3	24	-	-	-	D
6169	19400817:0900	17.2	24	12.1	24	10.0	24	-	-	-	D
6169	19400818:0900	17.8	24	11.6	24	9.1	24	-	-	-	D
6169	19400819:0900	17.9	24	11.6	24	10.2	24	-	-	-	D
6169	19400820:0900	17.4	24	11.6	24	9.4	24	-	-	-	D
6169	19400821:0900	15.6	24	10.6	24	7.2	24	-	-	-	D
6169	19400822:0900	16.7	24	10.2	24	7.8	24	-	-	-	D
6169	19400823:0900	17.2	24	9.8	24	6.8	24	-	-	-	D
6169	19400824:0900	17.2	24	10.5	24	8.3	24	-	-	-	D
6169	19400825:0900	18.0	24	10.9	24	8.1	24	-	-	-	D
6169	19400826:0900	18.4	24	13.2	24	11.1	24	-	-	-	D
6169	19400827:0900	17.2	24	15.1	24	13.7	24	-	-	-	D
6169	19400828:0900	18.4	24	15.6	24	14.5	24	-	-	-	D
6169	19400829:0900	18.6	24	14.2	24	12.4	24	-	-	-	D
6169	19400830:0900	19.1	24	14.8	24	13.4	24	-	-	-	D
6169	19400831:0900	20.4	24	16.7	24	16.4	24	-	-	-	D
6169	19400901:0900	18.0	24	16.3	24	16.3	24	-	-	-	D
6169	19400902:0900	20.2	24	16.8	24	16.8	24	-	-	-	D
6169	19400903:0900	18.5	24	13.9	24	12.9	24	-	-	-	D
6169	19400904:0900	19.6	24	13.0	24	11.1	24	-	-	-	D
6169	19400905:0900	18.3	24	10.6	24	5.1	24	-	-	-	D
6169	19400906:0900	18.1	24	12.9	24	12.3	24	-	-	-	D
6169	19400907:0900	18.9	24	13.3	24	11.7	24	-	-	-	D
6169	19400908:0900	19.9	24	13.6	24	11.6	24	-	-	-	D
6169	19400909:0900	17.2	24	13.9	24	12.8	24	-	-	-	D
6169	19400910:0900	18.5	24	12.2	24	10.1	24	-	-	-	D
6169	19400911:0900	18.3	24	12.3	24	11.1	24	-	-	-	D
6169	19400912:0900	19.3	24	12.1	24	9.8	24	-	-	-	D
6169	19400913:0900	17.9	24	11.9	24	9.9	24	-	-	-	D
6169	19400914:0900	17.2	24	10.7	24	8.1	24	-	-	-	D
6169	19400915:0900	17.2	24	9.6	24	7.6	24	-	-	-	D
6169	19400916:0900	17.6	24	12.2	24	9.9	24	-	-	-	D
6169	19400917:0900	19.6	24	14.1	24	12.0	24	-	-	-	D
6169	19400918:0900	19.3	24	12.2	24	9.7	24	-	-	-	D
6169	19400919:0900	18.1	24	12.1	24	9.6	24	-	-	-	D
6169	19400920:0900	19.0	24	12.2	24	9.2	24	-	-	-	D
6169	19400921:0900	17.7	24	10.0	24	9.6	24	-	-	-	D
6169	19400922:0900	19.1	24	13.4	24	11.7	24	-	-	-	D
6169	19400923:0900	19.7	24	13.3	24	11.8	24	-	-	-	D
6169	19400924:0900	17.4	24	13.5	24	12.1	24	-	-	-	D
6169	19400925:0900	18.3	24	13.7	24	11.8	24	-	-	-	D
6169	19400926:0900	19.5	24	13.4	24	10.8	24	-	-	-	D
6169	19400927:0900	19.3	24	14.4	24	12.8	24	-	-	-	D
6169	19400928:0900	19.0	24	13.9	24	10.9	24	-	-	-	D
6169	19400929:0900	20.2	24	12.7	24	9.9	24	-	-	-	D
6169	19400930:0900	19.8	24	13.6	24	10.8	24	-	-	-	D
6169	19401001:0900	20.2	24	16.9	24	16.9	24	-	-	-	D
6169	19401002:0900	21.8	24	18.2	24	18.3	24	-	-	-	D
6169	19401003:0900	21.1	24	16.1	24	15.6	24	-	-	-	D
6169	19401004:0900	19.4	24	15.2	24	14.9	24	-	-	-	D
6169	19401005:0900	19.7	24	16.7	24	16.0	24	-	-	-	D
6169	19401006:0900	18.2	24	13.8	24	12.2	24	-	-	-	D
6169	19401007:0900	17.8	24	11.8	24	9.4	24	-	-	-	D
6169	19401008:0900	18.7	24	10.7	24	7.9	24	-	-	-	D
6169	19401009:0900	18.2	24	11.8	24	9.8	24	-	-	-	D
6169	19401010:0900	18.9	24	13.3	24	12.1	24	-	-	-	D
6169	19401011:0900	18.5	24	13.9	24	11.9	24	-	-	-	D
6169	19401012:0900	19.6	24	12.9	24	12.2	24	-	-	-	D
6169	19401013:0900	18.2	24	13.3	24	11.4	24	-	-	-	D
6169	19401014:0900	17.9	24	12.4	24	9.8	24	-	-	-	D
6169	19401015:0900	19.7	24	15.5	24	14.6	24	-	-	-	D
6169	19401016:0900	19.7	24	12.6	24	9.9	24	-	-	-	D
6169	19401017:0900	19.7	24	12.4	24	9.6	24	-	-	-	D
6169	19401018:0900	20.4	24	15.6	24	13.9	24	-	-	-	D
6169	19401019:0900	20.2	24	15.9	24	15.6	24	-	-	-	D
6169	19401020:0900	20.3	24	15.8	24	14.7	24	-	-	-	D
6169	19401021:0900	22.0	24	13.7	24	11.7	24	-	-	-	D
6169	19401022:0900	17.9	24	15.2	24	13.9	24	-	-	-	D
6169	19401023:0900	19.0	24	14.8	24	13.4	24	-	-	-	D
6169	19401024:0900	19.6	24	15.0	24	12.9	24	-	-	-	D
6169	19401025:0900	21.0	24	14.9	24	13.0	24	-	-	-	D
6169	19401026:0900	22.3	24	14.7	24	12.1	24	-	-	-	D
6169	19401027:0900	21.7	24	13.7	24	11.5	24	-	-	-	D
6169	19401028:0900	21.3	24	17.2	24	16.1	24	-	-	-	D
6169	19401029:0900	22.3	24	18.6	24	18.7	24	-	-	-	D
6169	19401030:0900	22.9	24	16.5	24	16.1	24	-	-	-	D
6169	19401031:0900	19.2	24	13.2	24	10.2	24	-	-	-	D
6169	19401101:0900	19.4	24	12.2	24	10.4	24	-	-	-	D
6169	19401102:0900	18.8	24	12.6	24	9.4	24	-	-	-	D
6169	19401103:0900	19.2	24	12.3	24	10.1	24	-	-	-	D
6169	19401104:0900	20.4	24	15.2	24	14.7	24	-	-	-	D
6169	19401105:0900	19.7	24	14.6	24	12.9	24	-	-	-	D
6169	19401106:0900	19.8	24	15.0	24	14.2	24	-	-	-	D
6169	19401107:0900	21.6	24	16.8	24	15.2	24	-	-	-	D
6169	19401108:0900	22.3	24	14.9	24	14.3	24	-	-	-	D
6169	19401109:0900	21.6	24	13.5	24	12.7	24	-	-	-	D
6169	19401110:0900	19.1	24	15.8	24	13.8	24	-	-	-	D
6169	19401111:0900	20.1	24	14.4	24	12.4	24	-	-	-	D
6169	19401112:0900	21.1	24	16.2	24	14.4	24	-	-	-	D
6169	19401113:0900	20.6	24	14.4	24	11.6	24	-	-	-	D
6169	19401114:0900	20.2	24	15.0	24	12.6	24	-	-	-	D
6169	19401115:0900	19.6	24	14.7	24	13.5	24	-	-	-	D
6169	19401116:0900	21.0	24	13.8	24	10.9	24	-	-	-	D
6169	19401117:0900	21.4	24	14.8	24	12.4	24	-	-	-	D
6169	19401118:0900	22.7	24	18.3	24	17.3	24	-	-	-	D
6169	19401119:0900	21.1	24	17.4	24	16.0	24	-	-	-	D
6169	19401120:0900	21.2	24	16.3	24	15.5	24	-	-	-	D
6169	19401121:0900	21.0	24	16.9	24	14.7	24	-	-	-	D
6169	19401122:0900	21.6	24	15.6	24	13.7	24	-	-	-	D
6169	19401123:0900	20.1	24	13.2	24	10.9	24	-	-	-	D
6169	19401124:0900	20.9	24	15.0	24	12.3	24	-	-	-	D
6169	19401125:0900	21.6	24	14.5	24	12.0	24	-	-	-	D
6169	19401126:0900	20.3	24	13.4	24	9.7	24	-	-	-	D
6169	19401127:0900	19.9	24	14.4	24	12.8	24	-	-	-	D
6169	19401128:0900	19.9	24	14.4	24	12.1	24	-	-	-	D
6169	19401129:0900	19.7	24	16.4	24	15.6	24	-	-	-	D
6169	19401130:0900	19.4	24	14.7	24	13.9	24	-	-	-	D
6169	19401201:0900	20.1	24	16.3	24	15.8	24	-	-	-	D
6169	19401202:0900	20.6	24	16.6	24	14.8	24	-	-	-	D
6169	19401203:0900	21.0	24	17.2	24	15.8	24	-	-	-	D
6169	19401204:0900	21.7	24	17.2	24	16.4	24	-	-	-	D
6169	19401205:0900	20.7	24	17.3	24	16.2	24	-	-	-	D
6169	19401206:0900	20.9	24	17.2	24	15.4	24	-	-	-	D
6169	19401207:0900	21.2	24	16.8	24	15.0	24	-	-	-	D
6169	19401208:0900	21.2	24	17.1	24	15.4	24	-	-	-	D
6169	19401209:0900	21.7	24	17.1	24	15.6	24	-	-	-	D
6169	19401210:0900	21.1	24	17.4	24	16.2	24	-	-	-	D
6169	19401211:0900	21.3	24	17.1	24	15.4	24	-	-	-	D
6169	19401212:0900	21.6	24	17.4	24	16.2	24	-	-	-	D
6169	19401213:0900	21.8	24	17.4	24	15.3	24	-	-	-	D
6169	19401214:0900	22.0	24	17.4	24	16.1	24	-	-	-	D
6169	19401215:0900	22.4	24	16.0	24	14.4	24	-	-	-	D
6169	19401216:0900	23.1	24	15.1	24	12.8	24	-	-	-	D
6169	19401217:0900	23.2	24	15.5	24	13.1	24	-	-	-	D
6169	19401218:0900	22.7	24	17.9	24	16.6	24	-	-	-	D
6169	19401219:0900	22.3	24	16.3	24	13.1	24	-	-	-	D
6169	19401220:0900	22.9	24	14.9	24	12.6	24	-	-	-	D
6169	19401221:0900	22.9	24	16.0	24	13.9	24	-	-	-	D
6169	19401222:0900	24.3	24	18.7	24	17.1	24	-	-	-	D
6169	19401223:0900	24.3	24	16.7	24	14.6	24	-	-	-	D
6169	19401224:0900	24.3	24	18.4	24	16.3	24	-	-	-	D
6169	19401225:0900	24.4	24	19.7	24	17.9	24	-	-	-	D
6169	19401226:0900	25.8	24	19.8	24	18.8	24	-	-	-	D
6169	19401227:0900	23.8	24	18.5	24	16.5	24	-	-	-	D
6169	19401228:0900	22.6	24	17.6	24	15.5	24	-	-	-	D
6169	19401229:0900	22.9	24	18.1	24	16.6	24	-	-	-	D
6169	19401230:0900	23.3	24	18.2	24	16.6	24	-	-	-	D
6169	19401231:0900	23.4	24	17.6	24	16.1	24	-	-	-	D
6169	19410101:0900	23.4	24	16.9	24	14.3	24	-	-	-	D
6169	19410102:0900	22.8	24	17.6	24	14.9	24	-	-	-	D
6169	19410103:0900	22.4	24	18.3	24	16.8	24	-	-	-	D
6169	19410104:0900	22.9	24	18.4	24	16.8	24	-	-	-	D
6169	19410105:0900	23.1	24	18.8	24	17.4	24	-	-	-	D
6169	19410106:0900	22.8	24	18.9	24	17.4	24	-	-	-	D
6169	19410107:0900	22.8	24	18.9	24	18.6	24	-	-	-	D
6169	19410108:0900	21.7	24	18.2	24	17.1	24	-	-	-	D
6169	19410109:0900	22.8	24	17.8	24	16.8	24	-	-	-	D
6169	19410110:0900	23.3	24	18.9	24	18.6	24	-	-	-	D
6169	19410111:0900	23.9	24	18.7	24	19.3	24	-	-	-	D
6169	19410112:0900	24.8	24	20.6	24	20.4	24	-	-	-	D
6169	19410113:0900	23.9	24	18.3	24	17.4	24	-	-	-	D
6169	19410114:0900	24.7	24	19.3	24	18.9	24	-	-	-	D
6169	19410115:0900	24.7	24	20.6	24	19.3	24	-	-	-	D
6169	19410116:0900	26.7	24	20.4	24	19.1	24	-	-	-	D
6169	19410117:0900	26.4	24	21.3	24	20.6	24	-	-	-	D
6169	19410118:0900	25.1	24	21.1	24	20.3	24	-	-	-	D
6169	19410119:0900	24.9	24	19.4	24	17.8	24	-	-	-	D
6169	19410120:0900	24.1	24	19.9	24	19.0	24	-	-	-	D
6169	19410121:0900	25.0	24	19.4	24	17.7	24	-	-	-	D
6169	19410122:0900	25.8	24	20.8	24	19.7	24	-	-	-	D
6169	19410123:0900	25.1	24	19.3	24	18.9	24	-	-	-	D
6169	19410124:0900	22.2	24	19.8	24	19.4	24	-	-	-	D
6169	19410125:0900	25.0	24	20.0	24	19.7	24	-	-	-	D
6169	19410126:0900	24.2	24	20.6	24	20.4	24	-	-	-	D
6169	19410127:0900	25.3	24	20.0	24	19.8	24	-	-	-	D
6169	19410128:0900	25.6	24	19.8	24	19.4	24	-	-	-	D
6169	19410129:0900	25.1	24	19.8	24	18.3	24	-	-	-	D
6169	19410130:0900	26.1	24	18.6	24	16.8	24	-	-	-	D
6169	19410131:0900	26.6	24	19.5	24	18.3	24	-	-	-	D
6169	19410201:0900	25.6	24	20.3	24	18.6	24	-	-	-	D
6169	19410202:0900	24.6	24	19.4	24	16.8	24	-	-	-	D
6169	19410203:0900	24.5	24	19.9	24	17.4	24	-	-	-	D
6169	19410204:0900	26.6	24	19.3	24	17.6	24	-	-	-	D
6169	19410205:0900	26.7	24	20.4	24	19.1	24	-	-	-	D
6169	19410206:0900	25.7	24	19.3	24	17.2	24	-	-	-	D
6169	19410207:0900	26.8	24	21.3	24	20.7	24	-	-	-	D
6169	19410208:0900	24.8	24	20.8	24	19.6	24	-	-	-	D
6169	19410209:0900	24.4	24	20.2	24	18.8	24	-	-	-	D
6169	19410210:0900	24.9	24	18.7	24	17.8	24	-	-	-	D
6169	19410211:0900	25.0	24	20.4	24	19.1	24	-	-	-	D
6169	19410212:0900	24.8	24	20.9	24	20.2	24	-	-	-	D
6169	19410213:0900	25.0	24	21.2	24	20.3	24	-	-	-	D
6169	19410214:0900	25.6	24	19.2	24	18.2	24	-	-	-	D
6169	19410215:0900	24.3	24	21.0	24	20.4	24	-	-	-	D
6169	19410216:0900	24.9	24	19.9	24	19.1	24	-	-	-	D
6169	19410217:0900	25.0	24	18.9	24	16.1	24	-	-	-	D
6169	19410218:0900	24.6	24	19.3	24	18.5	24	-	-	-	D
6169	19410219:0900	23.0	24	18.5	24	18.8	24	-	-	-	D
6169	19410220:0900	24.2	24	18.9	24	17.8	24	-	-	-	D
