MIN TEMP       300004 19500501 20201231 missing_value=99999.9 MACQUARIE ISLAND                          
19851001 19851031     2.8
19851101 19851130     3.5
19851201 19851231     4.4
19860101 19860131     6.1
19860201 19860228     7.1
19860301 19860331     6.1
19860401 19860430     4.6
19860501 19860531     1.8
19860601 19860630     0.7
19860701 19860731     1.1
19860801 19860831     2.5
19860901 19860930     1.1
19861001 19861031     3.6
19861101 19861130     3.5
19861201 19861231     5.6
19870101 19870131     6.5
19870201 19870228     6.8
19870301 19870331     5.6
19870401 19870430     3.7
19870501 19870531     2.8
19870601 19870630     1.3
19870701 19870731     1.9
19870801 19870831     1.6
19870901 19870930     0.6
19871001 19871031     2.1
19871101 19871130     3.5
19871201 19871231     4.1
19880101 19880131     5.2
19880201 19880229     5.1
19880301 19880331     3.2
19880401 19880430     3.2
19880501 19880531     0.5
19880601 19880630     0.5
19880701 19880731     1.8
19880801 19880831     0.7
19880901 19880930     2.0
19881001 19881031     2.0
19881101 19881130     3.0
19881201 19881231     5.4
19890101 19890131     7.1
19890201 19890228     6.3
19890301 19890331     4.5
19890401 19890430     4.4
19890501 19890531     3.3
19890601 19890630     1.7
19890701 19890731     2.5
19890801 19890831     3.1
19890901 19890930     3.4
19891001 19891031     3.4
19891101 19891130     2.3
19891201 19891231     3.3
19900101 19900131     4.9
19900201 19900228     5.4
19900301 19900331     4.1
19900401 19900430     2.4
19900501 19900531     1.0
19900601 19900630     2.1
19900701 19900731     2.2
19900801 19900831     1.4
19900901 19900930     1.2
19901001 19901031     1.3
19901101 19901130     3.3
19901201 19901231     3.4
19910101 19910131     4.7
19910201 19910228     3.7
19910301 19910331     4.8
19910401 19910430     3.3
19910501 19910531     1.7
19910601 19910630     1.4
19910701 19910731     1.9
19910801 19910831     1.4
19910901 19910930     2.4
19911001 19911031     1.9
19911101 19911130     2.8
19911201 19911231     4.5
19920101 19920131     5.9
19920201 19920229     5.0
19920301 19920331     4.1
19920401 19920430     4.1
19920501 19920531     2.2
19920601 19920630     1.9
19920701 19920731     1.7
19920801 19920831     0.4
19920901 19920930     1.8
19921001 19921031     2.4
19921101 19921130     3.7
19921201 19921231     4.5
19930101 19930131     5.5
19930201 19930228     5.9
19930301 19930331     5.2
19930401 19930430     4.7
19930501 19930531     3.1
19930601 19930630     0.6
19930701 19930731     3.0
19930801 19930831     1.5
19930901 19930930     1.9
19931001 19931031     2.1
19931101 19931130     3.0
19931201 19931231     4.5
19940101 19940131     4.8
19940201 19940228     5.7
19940301 19940331     5.1
19940401 19940430     3.5
19940501 19940531     2.5
19940601 19940630     1.5
19940701 19940731     1.3
19940801 19940831     0.3
19940901 19940930    -0.3
19941001 19941031     1.9
19941101 19941130     2.2
19941201 19941231     3.7
19950101 19950131     4.7
19950201 19950228     5.1
19950301 19950331     4.2
19950401 19950430     4.2
19950501 19950531     3.0
19950601 19950630     0.6
19950701 19950731    -1.9
19950801 19950831     1.8
19950901 19950930     1.9
19951001 19951031     1.1
19951101 19951130     2.8
19951201 19951231     3.2
19960101 19960131     5.5
19960201 19960229     5.6
19960301 19960331     5.6
19960401 19960430     4.6
19960501 19960531     2.6
19960601 19960630     0.8
19960701 19960731     1.8
19960801 19960831     1.7
19960901 19960930     2.7
19961001 19961031     2.2
19961101 19961130     3.4
19961201 19961231     4.8
19970101 19970131     6.2
19970201 19970228     5.6
19970301 19970331     4.7
19970401 19970430     3.8
19970501 19970531     3.4
19970601 19970630     3.1
19970701 19970731     1.9
19970801 19970831     1.2
19970901 19970930     1.2
19971001 19971031     1.0
19971101 19971130     1.3
19971201 19971231     3.4
19980101 19980131     4.8
19980201 19980228     5.2
19980301 19980331     3.9
19980401 19980430     2.7
19980501 19980531     2.8
19980601 19980630     1.9
19980701 19980731     1.4
19980801 19980831     1.0
19980901 19980930     2.3
19981001 19981031     1.9
19981101 19981130     3.1
19981201 19981231     5.0
19990101 19990131     5.1
19990201 19990228     6.2
19990301 19990331     5.0
19990401 19990430     3.8
19990501 19990531     3.0
19990601 19990630     1.1
19990701 19990731     1.6
19990801 19990831     1.8
19990901 19990930     3.2
19991001 19991031     3.0
19991101 19991130     3.3
19991201 19991231     3.6
20000101 20000131     4.8
20000201 20000229     4.9
20000301 20000331     4.2
20000401 20000430     2.8
20000501 20000531     2.1
20000601 20000630     1.5
20000701 20000731     3.1
20000801 20000831     1.2
20000901 20000930     3.5
20001001 20001031     2.6
20001101 20001130     2.5
20001201 20001231     5.1
20010101 20010131     5.1
20010201 20010228     4.8
20010301 20010331     5.1
20010401 20010430     4.3
20010501 20010531     2.3
20010601 20010630     1.6
20010701 20010731     2.5
20010801 20010831     1.8
20010901 20010930     2.7
20011001 20011031     2.6
20011101 20011130     3.3
20011201 20011231     4.4
20020101 20020131     6.5
20020201 20020228     6.8
20020301 20020331     4.2
20020401 20020430     4.5
20020501 20020531     1.9
20020601 20020630     1.5
20020701 20020731     2.7
20020801 20020831     1.5
20020901 20020930     1.6
20021001 20021031     2.7
20021101 20021130     4.0
20021201 20021231     4.6
20030101 20030131     5.7
20030201 20030228     4.7
20030301 20030331     5.2
20030401 20030430     4.5
20030501 20030531     2.0
20030601 20030630     0.7
20030701 20030731     0.9
20030801 20030831     2.7
20030901 20030930     0.9
20031001 20031031     2.1
20031101 20031130     1.8
20031201 20031231     3.5
20040101 20040131     5.3
20040201 20040229     4.7
20040301 20040331     4.7
20040401 20040430     3.7
20040501 20040531     2.5
20040601 20040630     1.7
20040701 20040731     1.7
20040801 20040831     0.5
20040901 20040930     1.0
20041001 20041031     1.2
20041101 20041130     2.7
20041201 20041231     3.5
20050101 20050131     5.6
20050201 20050228     6.1
20050301 20050331     5.0
20050401 20050430     3.8
20050501 20050531     2.0
20050601 20050630     2.3
20050701 20050731     1.2
20050801 20050831     1.5
20050901 20050930     1.3
20051001 20051031     3.0
20051101 20051130     4.1
20051201 20051231     6.6
20060101 20060131     5.0
20060201 20060228     5.9
20060301 20060331     4.6
20060401 20060430     5.2
20060501 20060531     3.7
20060601 20060630     1.2
20060701 20060731     1.1
20060801 20060831     1.5
20060901 20060930     0.9
20061001 20061031     1.5
20061101 20061130     1.3
20061201 20061231     3.6
20070101 20070131     5.3
20070201 20070228     5.6
20070301 20070331     4.8
20070401 20070430     3.5
20070501 20070531     3.0
20070601 20070630     0.1
20070701 20070731     0.4
20070801 20070831     2.7
20070901 20070930     2.0
20071001 20071031     1.9
20071101 20071130     2.9
20071201 20071231     5.0
20080101 20080131     5.3
20080201 20080229     5.5
20080301 20080331     5.1
20080401 20080430     4.2
20080501 20080531     3.2
20080601 20080630     2.0
20080701 20080731     2.0
20080801 20080831     1.5
20080901 20080930     2.3
20081001 20081031     1.0
20081101 20081130     1.6
20081201 20081231     4.1
20090101 20090131     5.4
20090201 20090228     4.8
20090301 20090331     5.0
20090401 20090430     4.4
20090501 20090531     3.5
20090601 20090630     2.0
20090701 20090731     1.0
20090801 20090831     2.7
20090901 20090930     2.4
20091001 20091031     1.9
20091101 20091130     1.6
20091201 20091231     4.2
20100101 20100131     5.9
20100201 20100228     6.2
20100301 20100331     4.3
20100401 20100430     3.5
20100501 20100531     3.7
20100601 20100630     2.5
20100701 20100731     2.0
20100801 20100831     2.3
20100901 20100930    -0.2
20101001 20101031     2.4
20101101 20101130     4.0
20101201 20101231     4.6
20110101 20110131     5.5
20110201 20110228     5.2
20110301 20110331     4.3
20110401 20110430     3.4
20110501 20110531     2.0
20110601 20110630     2.8
20110701 20110731    -0.2
20110801 20110831     1.3
20110901 20110930     1.7
20111001 20111031     3.0
20111101 20111130     2.8
20111201 20111231     4.8
20120101 20120131     4.6
20120201 20120229     5.8
20120301 20120331     5.0
20120401 20120430     4.9
20120501 20120531     2.6
20120601 20120630     0.5
20120701 20120731     2.2
20120801 20120831     3.5
20120901 20120930     2.0
20121001 20121031     0.9
20121101 20121130     3.5
20121201 20121231     4.5
20130101 20130131     5.1
20130201 20130228     5.6
20130301 20130331     5.2
20130401 20130430     3.7
20130501 20130531     2.5
20130601 20130630     1.4
20130701 20130731     0.8
20130801 20130831     2.5
20130901 20130930     1.6
20131001 20131031     1.8
20131101 20131130     2.4
20131201 20131231     4.3
20140101 20140131     4.8
20140201 20140228     5.7
20140301 20140331     5.7
20140401 20140430     5.2
20140501 20140531     2.2
20140601 20140630     2.8
20140701 20140731     2.6
20140801 20140831     1.7
20140901 20140930     1.9
20141001 20141031     2.0
20141101 20141130     2.7
20141201 20141231     5.2
